Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.0253,,,,,,,,,,,,,,,,312,0.0170,-0.0187,-0.0003,0.7440,1.0779,2.7213,0.7269,1.0966,2.7216
1,Line,0.0091,,,,,,,,,,,,,,,,40,0.0039,0.0034,-0.0075,0.7479,1.0813,2.7138,0.7440,1.0779,2.7213
1,Line,0.0106,,,,,,,,,,,,,,,,220,-0.0046,-0.0039,0.0088,0.7269,1.0966,2.7216,0.7315,1.1005,2.7128
1,Line,0.0091,,,,,,,,,,,,,,,,210,-0.0027,-0.0016,0.0086,0.5129,1.2631,2.6719,0.5157,1.2646,2.6633
1,Line,0.0253,,,,,,,,,,,,,,,,334,0.0222,-0.0106,0.0060,0.5351,1.2525,2.6779,0.5129,1.2631,2.6719
1,Line,0.0140,,,,,,,,,,,,,,,,220,-0.0060,-0.0051,0.0115,0.6139,1.1962,2.7089,0.6199,1.2013,2.6974
1,Line,0.0091,,,,,,,,,,,,,,,,45,0.0049,0.0049,-0.0060,0.7440,1.0779,2.7213,0.7391,1.0730,2.7273
1,Line,0.0119,,,,,,,,,,,,,,,,225,-0.0063,-0.0064,0.0078,0.7030,1.1084,2.7290,0.7094,1.1147,2.7213
1,Line,0.0253,,,,,,,,,,,,,,,,315,0.0178,-0.0179,-0.0013,0.7391,1.0730,2.7273,0.7213,1.0909,2.7286
1,Line,0.0253,,,,,,,,,,,,,,,,333,0.0215,-0.0111,0.0072,0.5305,1.2486,2.6866,0.5090,1.2597,2.6794
1,Line,0.0106,,,,,,,,,,,,,,,,225,-0.0057,-0.0057,0.0070,0.7213,1.0909,2.7286,0.7269,1.0966,2.7216
1,Line,0.0135,,,,,,,,,,,,,,,,225,-0.0072,-0.0073,0.0089,0.6654,1.1420,2.7273,0.6726,1.1492,2.7184
1,Line,0.0253,,,,,,,,,,,,,,,,319,0.0190,-0.0166,0.0013,0.6844,1.1254,2.7286,0.6654,1.1420,2.7273
1,Line,0.0253,,,,,,,,,,,,,,,,318,0.0187,-0.0170,0.0004,0.7030,1.1084,2.7290,0.6844,1.1254,2.7286
1,Line,0.0253,,,,,,,,,,,,,,,,316,0.0183,-0.0175,-0.0004,0.7213,1.0909,2.7286,0.7030,1.1084,2.7290
1,Line,0.0129,,,,,,,,,,,,,,,,225,-0.0068,-0.0069,0.0084,0.6844,1.1254,2.7286,0.6912,1.1323,2.7202
1,Line,0.0129,,,,,,,,,,,,,,,,220,-0.0055,-0.0047,0.0106,0.5728,1.2239,2.6991,0.5783,1.2286,2.6885
1,Line,0.0253,,,,,,,,,,,,,,,,327,0.0207,-0.0135,0.0052,0.5935,1.2104,2.7043,0.5728,1.2239,2.6991
1,Line,0.0253,,,,,,,,,,,,,,,,325,0.0204,-0.0142,0.0046,0.6139,1.1962,2.7089,0.5935,1.2104,2.7043
1,Line,0.0253,,,,,,,,,,,,,,,,323,0.0200,-0.0150,0.0039,0.6339,1.1812,2.7127,0.6139,1.1962,2.7089
1,Line,0.0135,,,,,,,,,,,,,,,,220,-0.0058,-0.0050,0.0112,0.5935,1.2104,2.7043,0.5993,1.2154,2.6932
1,Line,0.0253,,,,,,,,,,,,,,,,331,0.0213,-0.0119,0.0066,0.5518,1.2366,2.6932,0.5305,1.2486,2.6866
1,Line,0.0091,,,,,,,,,,,,,,,,220,-0.0039,-0.0034,0.0075,0.5090,1.2597,2.6794,0.5129,1.2631,2.6719
1,Line,0.0106,,,,,,,,,,,,,,,,220,-0.0046,-0.0039,0.0088,0.5305,1.2486,2.6866,0.5351,1.2525,2.6779
1,Line,0.0119,,,,,,,,,,,,,,,,220,-0.0051,-0.0044,0.0098,0.5518,1.2366,2.6932,0.5569,1.2410,2.6834
1,Line,0.0253,,,,,,,,,,,,,,,,329,0.0210,-0.0127,0.0059,0.5728,1.2239,2.6991,0.5518,1.2366,2.6932
1,Line,0.0135,,,,,,,,,,,,,,,,167,-0.0020,0.0005,0.0134,0.6034,1.2177,2.6805,0.6054,1.2173,2.6671
1,Line,0.0253,,,,,,,,,,,,,,,,326,0.0207,-0.0140,0.0038,0.6241,1.2037,2.6843,0.6034,1.2177,2.6805
1,Line,0.0253,,,,,,,,,,,,,,,,323,0.0201,-0.0149,0.0036,0.6442,1.1888,2.6879,0.6241,1.2037,2.6843
1,Line,0.0253,,,,,,,,,,,,,,,,321,0.0195,-0.0157,0.0034,0.6636,1.1731,2.6913,0.6442,1.1888,2.6879
1,Line,0.0140,,,,,,,,,,,,,,,,167,-0.0021,0.0005,0.0138,0.6241,1.2037,2.6843,0.6262,1.2032,2.6705
1,Line,0.0253,,,,,,,,,,,,,,,,331,0.0217,-0.0122,0.0042,0.5822,1.2308,2.6764,0.5605,1.2431,2.6722
1,Line,0.0106,,,,,,,,,,,,,,,,167,-0.0016,0.0004,0.0105,0.5383,1.2543,2.6679,0.5399,1.2540,2.6573
1,Line,0.0119,,,,,,,,,,,,,,,,167,-0.0018,0.0004,0.0117,0.5605,1.2431,2.6722,0.5623,1.2426,2.6605
1,Line,0.0129,,,,,,,,,,,,,,,,167,-0.0019,0.0004,0.0127,0.5822,1.2308,2.6764,0.5841,1.2304,2.6637
1,Line,0.0253,,,,,,,,,,,,,,,,328,0.0212,-0.0131,0.0040,0.6034,1.2177,2.6805,0.5822,1.2308,2.6764
1,Line,0.0129,,,,,,,,,,,,,,,,167,-0.0019,0.0004,0.0127,0.7006,1.1392,2.6975,0.7025,1.1388,2.6848
1,Line,0.0253,,,,,,,,,,,,,,,,314,0.0174,-0.0181,0.0028,0.7180,1.1212,2.7003,0.7006,1.1392,2.6975
1,Line,0.0253,,,,,,,,,,,,,,,,312,0.0167,-0.0188,0.0026,0.7347,1.1024,2.7029,0.7180,1.1212,2.7003
1,Line,0.0091,,,,,,,,,,,,,,,,347,0.0014,-0.0003,-0.0090,0.7520,1.0826,2.6962,0.7507,1.0829,2.7052
1,Line,0.0119,,,,,,,,,,,,,,,,167,-0.0018,0.0004,0.0117,0.7180,1.1212,2.7003,0.7198,1.1207,2.6886
1,Line,0.0253,,,,,,,,,,,,,,,,319,0.0188,-0.0165,0.0032,0.6825,1.1566,2.6945,0.6636,1.1731,2.6913
1,Line,0.0141,,,,,,,,,,,,,,,,167,-0.0021,0.0005,0.0139,0.6442,1.1888,2.6879,0.6463,1.1883,2.6740
1,Line,0.0140,,,,,,,,,,,,,,,,167,-0.0021,0.0005,0.0138,0.6636,1.1731,2.6913,0.6657,1.1726,2.6775
1,Line,0.0135,,,,,,,,,,,,,,,,167,-0.0020,0.0005,0.0134,0.6825,1.1566,2.6945,0.6845,1.1561,2.6812
1,Line,0.0253,,,,,,,,,,,,,,,,316,0.0181,-0.0173,0.0030,0.7006,1.1392,2.6975,0.6825,1.1566,2.6945
1,Line,0.0253,,,,,,,,,,,,,,,,333,0.0222,-0.0113,0.0044,0.5605,1.2431,2.6722,0.5383,1.2543,2.6679
1,Line,0.0141,,,,,,,,,,,,,,,,210,-0.0042,-0.0024,0.0132,0.6399,1.1864,2.7011,0.6442,1.1888,2.6879
1,Line,0.0253,,,,,,,,,,,,,,,,321,0.0195,-0.0157,0.0033,0.6595,1.1707,2.7044,0.6399,1.1864,2.7011
