Count,Name,Length,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.0052,,,,,,,,,,,,,,,,247,-0.0018,-0.0044,0.0020,2.4574,-0.1621,1.7749,2.4592,-0.1577,1.7729
1,Line,0.0052,,,,,,,,,,,,,,,,247,-0.0018,-0.0044,-0.0020,2.4632,-0.1481,1.7729,2.4650,-0.1437,1.7749
1,Line,0.0052,,,,,,,,,,,,,,,,247,-0.0020,-0.0048,-0.0007,2.4612,-0.1529,1.7722,2.4632,-0.1481,1.7729
1,Line,0.0690,,,,,,,,,,,,,,,,0,0.0384,0.0000,0.0573,1.4724,0.5400,1.8252,1.4340,0.5400,1.7679
1,Line,0.5970,,,,,,,,,,,,,,,,23,0.5515,0.2286,0.0000,2.2098,1.1725,1.7749,1.6583,0.9439,1.7749
1,Line,0.0052,,,,,,,,,,,,,,,,113,-0.0016,0.0038,0.0032,2.2082,1.1763,1.7780,2.2098,1.1725,1.7749
1,Line,0.5971,,,,,,,,,,,,,,,,23,0.5516,0.2286,0.0000,2.2082,1.1763,1.7780,1.6566,0.9477,1.7780
1,Line,0.0052,,,,,,,,,,,,,,,,113,-0.0012,0.0029,0.0041,2.2070,1.1792,1.7822,2.2082,1.1763,1.7780
1,Line,0.5969,,,,,,,,,,,,,,,,23,0.5514,0.2285,0.0000,2.2116,1.1680,1.7729,1.6602,0.9395,1.7729
1,Line,0.0052,,,,,,,,,,,,,,,,113,-0.0020,0.0048,0.0007,2.2116,1.1680,1.7729,2.2136,1.1633,1.7722
1,Line,0.5966,,,,,,,,,,,,,,,,23,0.5512,0.2284,0.0000,2.2156,1.1585,1.7729,1.6644,0.9301,1.7729
1,Line,0.0052,,,,,,,,,,,,,,,,113,-0.0018,0.0044,0.0020,2.2098,1.1725,1.7749,2.2116,1.1680,1.7729
1,Line,0.5967,,,,,,,,,,,,,,,,23,0.5513,0.2285,0.0000,2.2136,1.1633,1.7722,1.6623,0.9348,1.7722
1,Line,0.0052,,,,,,,,,,,,,,,,113,-0.0008,0.0018,0.0048,2.2062,1.1811,1.7870,2.2070,1.1792,1.7822
1,Line,0.5972,,,,,,,,,,,,,,,,23,0.5517,0.2286,0.0000,2.2062,1.1811,1.7973,1.6545,0.9524,1.7973
1,Line,0.0052,,,,,,,,,,,,,,,,293,0.0008,-0.0018,0.0048,2.2070,1.1792,1.8021,2.2062,1.1811,1.7973
1,Line,0.5972,,,,,,,,,,,,,,,,23,0.5517,0.2286,0.0000,2.2070,1.1792,1.8021,1.6553,0.9506,1.8021
1,Line,0.0052,,,,,,,,,,,,,,,,293,0.0012,-0.0029,0.0041,2.2082,1.1763,1.8062,2.2070,1.1792,1.8021
1,Line,0.5972,,,,,,,,,,,,,,,,23,0.5517,0.2287,0.0000,2.2060,1.1817,1.7921,1.6543,0.9530,1.7921
1,Line,0.0052,,,,,,,,,,,,,,,,113,-0.0003,0.0006,0.0052,2.2060,1.1817,1.7921,2.2062,1.1811,1.7870
1,Line,0.5972,,,,,,,,,,,,,,,,23,0.5517,0.2286,0.0000,2.2070,1.1792,1.7822,1.6553,0.9506,1.7822
1,Line,0.0052,,,,,,,,,,,,,,,,293,0.0003,-0.0006,0.0052,2.2062,1.1811,1.7973,2.2060,1.1817,1.7921
1,Line,0.5972,,,,,,,,,,,,,,,,23,0.5517,0.2286,0.0000,2.2062,1.1811,1.7870,1.6545,0.9524,1.7870
1,Line,0.0690,,,,,,,,,,,,,,,,0,0.0384,0.0000,0.0573,1.5006,0.5387,1.8063,1.4622,0.5387,1.7490
1,Line,0.0690,,,,,,,,,,,,,,,,0,0.0384,0.0000,0.0573,1.5039,0.5435,1.8041,1.4655,0.5435,1.7468
1,Line,0.0052,,,,,,,,,,,,,,,,113,-0.0003,0.0006,-0.0052,2.2210,1.1455,1.7870,2.2212,1.1449,1.7921
1,Line,0.0052,,,,,,,,,,,,,,,,293,0.0003,-0.0006,-0.0052,2.2212,1.1449,1.7921,2.2210,1.1455,1.7973
