Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Area,Center X,Center Y,Center Z,Length,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,,,,,,,1.8483,,,,,,148,0.1162,0.3277,0.7876,-5646.9396,2171.9351,77.2840,-5647.0558,2171.6074,76.4964
1,Line,,,,,,,,,,,0.8405,,,,,,171,-0.0066,0.1105,-0.6502,-5647.0558,2171.6074,76.4964,-5647.0491,2171.4969,77.1466
1,Line,,,,,,,,,,,2.5888,,,,,,63,-0.5196,0.1374,-0.1408,-5646.6935,2170.2183,75.3904,-5646.1739,2170.0809,75.5312
1,Line,,,,,,,,,,,4.2040,,,,,,165,0.0096,0.1808,4.1128,-5646.1739,2170.0809,75.5312,-5646.1835,2169.9001,71.4184
1,Line,,,,,,,,,,,5.6837,,,,,,150,-0.0878,-0.2780,-5.5080,-5646.7813,2169.9403,69.8825,-5646.6935,2170.2183,75.3904
1,Line,,,,,,,,,,,2.0125,,,,,,147,-0.0414,-0.1094,-1.9322,-5645.9616,2172.0932,92.3679,-5645.9202,2172.2026,94.3002
1,Line,,,,,,,,,,,2.5879,,,,,,139,0.2630,0.4679,0.1839,-5645.9202,2172.2026,94.3002,-5646.1832,2171.7348,94.1162
1,Line,,,,,,,,,,,1.4729,,,,,,72,-0.2300,0.0226,0.9661,-5646.1832,2171.7348,94.1162,-5645.9531,2171.7122,93.1501
1,Line,,,,,,,,,,,1.7667,,,,,,141,-0.1677,-0.3257,-0.1318,-5646.2922,2171.7824,97.3761,-5646.1246,2172.1080,97.5079
1,Line,,,,,,,,,,,3.5396,,,,,,11,0.2824,-0.6782,-0.2121,-5645.9235,2170.6629,100.1501,-5646.2058,2171.3411,100.3622
1,Line,,,,,,,,,,,1.9928,,,,,,169,0.0085,-0.3810,0.7822,-5645.9531,2171.7122,93.1501,-5645.9616,2172.0932,92.3679
1,Line,,,,,,,,,,,2.4701,,,,,,113,-0.2732,-0.1894,-1.8829,-5646.2058,2171.3411,100.3622,-5645.9327,2171.5305,102.2451
1,Line,,,,,,,,,,,2.3989,,,,,,162,-0.0467,-0.4799,0.6141,-5646.1345,2170.7260,90.9931,-5646.0877,2171.2059,90.3790
1,Line,,,,,,,,,,,0.8174,,,,,,69,-0.1193,0.0193,-0.5747,-5646.0877,2171.2059,90.3790,-5645.9684,2171.1866,90.9536
1,Line,,,,,,,,,,,1.5392,,,,,,79,0.2976,0.0050,0.5652,-5645.8368,2170.7311,91.5583,-5646.1345,2170.7260,90.9931
1,Line,,,,,,,,,,,3.2301,,,,,,126,-0.1735,-0.1954,2.9755,-5646.2981,2171.9126,100.4834,-5646.1246,2172.1080,97.5079
1,Line,,,,,,,,,,,1.6195,,,,,,104,-0.2860,-0.1408,-0.5215,-5646.1246,2172.1080,97.5079,-5645.8386,2172.2488,98.0293
1,Line,,,,,,,,,,,1.7316,,,,,,133,0.1480,0.2138,1.1976,-5646.1501,2172.1264,101.6810,-5646.2981,2171.9126,100.4834
1,Line,,,,,,,,,,,3.1699,,,,,,171,-0.0059,0.1303,3.1073,-5646.2981,2171.9126,100.4834,-5646.2922,2171.7824,97.3761
1,Line,,,,,,,,,,,0.7957,,,,,,61,-0.1427,0.0440,0.3421,-5645.6149,2170.7958,93.2854,-5645.4721,2170.7519,92.9433
1,Line,,,,,,,,,,,1.8728,,,,,,133,0.1484,0.2150,1.3889,-5645.4721,2170.7519,92.9433,-5645.6205,2170.5369,91.5544
1,Line,,,,,,,,,,,0.6051,,,,,,25,0.0760,-0.1002,0.0173,-5645.6205,2170.5369,91.5544,-5645.6965,2170.6371,91.5371
1,Line,,,,,,,,,,,0.6927,,,,,,74,-0.1424,0.0105,-0.0891,-5645.7573,2170.8063,93.1963,-5645.6149,2170.7958,93.2854
1,Line,,,,,,,,,,,0.8125,,,,,,44,0.1403,-0.0939,-0.0211,-5645.6965,2170.6371,91.5371,-5645.8368,2170.7311,91.5583
1,Line,,,,,,,,,,,1.9477,,,,,,141,-0.0816,-0.1587,-1.7483,-5645.6965,2170.6371,91.5371,-5645.6149,2170.7958,93.2854
1,Line,,,,,,,,,,,2.0087,,,,,,110,-0.0151,-0.0094,-2.0069,-5645.7700,2172.2847,92.0244,-5645.7549,2172.2941,94.0313
1,Line,,,,,,,,,,,0.6756,,,,,,75,-0.0611,0.0031,0.6081,-5646.1246,2172.1080,97.5079,-5646.0635,2172.1049,96.8997
1,Line,,,,,,,,,,,1.6094,,,,,,110,-0.2630,-0.1666,-0.5905,-5646.0635,2172.1049,96.8997,-5645.8005,2172.2715,97.4902
1,Line,,,,,,,,,,,0.5796,,,,,,109,0.0381,0.0226,-0.5391,-5645.8005,2172.2715,97.4902,-5645.8386,2172.2488,98.0293
1,Line,,,,,,,,,,,0.9477,,,,,,107,0.1653,0.0915,-0.2688,-5645.7549,2172.2941,94.0313,-5645.9202,2172.2026,94.3002
1,Line,,,,,,,,,,,1.3476,,,,,,123,-0.1916,-0.1916,0.3435,-5645.9616,2172.0932,92.3679,-5645.7700,2172.2847,92.0244
1,Line,,,,,,,,,,,2.6467,,,,,,129,-0.3371,-0.4178,-0.5814,-5646.7721,2170.8932,89.8297,-5646.4350,2171.3110,90.4110
1,Line,,,,,,,,,,,1.6146,,,,,,76,0.3074,-0.0119,-0.6465,-5645.6161,2170.6511,99.5035,-5645.9235,2170.6629,100.1501
1,Line,,,,,,,,,,,2.3372,,,,,,162,-0.0103,-0.1023,-2.2843,-5646.7058,2170.1110,69.6811,-5646.6954,2170.2133,71.9654
1,Line,,,,,,,,,,,1.2175,,,,,,77,0.1905,-0.0047,-0.8012,-5645.8364,2171.3230,93.9873,-5646.0269,2171.3277,94.7885
1,Line,,,,,,,,,,,2.9489,,,,,,120,-0.4522,-0.4134,-0.1086,-5646.0833,2170.9250,70.7685,-5645.6310,2171.3384,70.8770
1,Line,,,,,,,,,,,4.9948,,,,,,160,0.1125,0.8346,2.9226,-5646.7990,2171.1338,70.9751,-5646.9114,2170.2992,68.0525
1,Line,,,,,,,,,,,3.8150,,,,,,141,-0.2136,-0.4223,-3.0616,-5646.9114,2170.2992,68.0525,-5646.6979,2170.7215,71.1141
1,Line,,,,,,,,,,,2.9169,,,,,,80,0.5116,0.0152,1.5648,-5646.1942,2170.1262,71.2459,-5646.7058,2170.1110,69.6811
1,Line,,,,,,,,,,,3.1330,,,,,,96,0.6146,0.2035,-0.3456,-5646.0833,2170.9250,70.7685,-5646.6979,2170.7215,71.1141
1,Line,,,,,,,,,,,0.8742,,,,,,168,-0.0010,0.1693,-0.3181,-5645.6358,2170.8230,71.6151,-5645.6348,2170.6537,71.9332
1,Line,,,,,,,,,,,2.5489,,,,,,47,0.4164,-0.2519,1.0086,-5645.6348,2170.6537,71.9332,-5646.0512,2170.9056,70.9246
1,Line,,,,,,,,,,,2.0492,,,,,,122,0.2525,0.2464,1.1486,-5646.6158,2170.5696,70.1685,-5646.8684,2170.3232,69.0199
