Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.6885,,,,,,,,,,,,,,269,-0.0129,-0.5262,-0.4438,-6.2883,34.4168,5.4769,-6.2754,34.9429,5.9207
1,Line,1.0267,,,,,,,,,,,,,,268,-0.0063,-0.1675,-1.0129,-6.3240,37.4709,5.7257,-6.3177,37.6385,6.7387
1,Line,0.5108,,,,,,,,,,,,,,96,-0.0281,0.2639,0.4364,-6.4552,38.8311,5.6213,-6.4271,38.5672,5.1848
1,Line,0.0032,,,,,,,,,,,,,,269,-0.0001,-0.0030,-0.0011,-6.3208,36.8433,10.3618,-6.3207,36.8463,10.3629
1,Line,0.6933,,,,,,,,,,,,,,269,-0.0156,-0.6737,-0.1629,-6.4673,33.3901,5.3395,-6.4517,34.0639,5.5024
1,Line,0.6928,,,,,,,,,,,,,,269,-0.0109,-0.5438,-0.4292,-6.5267,36.4041,5.3377,-6.5157,36.9479,5.7669
1,Line,0.4898,,,,,,,,,,,,,,98,-0.0299,0.2170,0.4381,-6.4855,39.0821,5.6020,-6.4556,38.8650,5.1639
1,Line,0.4586,,,,,,,,,,,,,,91,-0.0004,0.0340,-0.4573,-6.4556,38.8650,5.1639,-6.4552,38.8311,5.6213
1,Line,1.4451,,,,,,,,,,,,,,269,-0.0143,-1.4148,-0.2942,-6.4737,31.8940,5.0512,-6.4594,33.3088,5.3454
1,Line,0.3269,,,,,,,,,,,,,,268,-0.0035,-0.1301,-0.2999,-6.2915,34.4707,4.9024,-6.2880,34.6008,5.2023
1,Line,0.3958,,,,,,,,,,,,,,95,-0.0322,0.3907,-0.0543,-6.2639,16.4318,6.6848,-6.2317,16.0411,6.7392
1,Line,0.6868,,,,,,,,,,,,,,90,0.0026,0.6419,0.2441,-6.3095,36.9883,5.2957,-6.3121,36.3463,5.0516
1,Line,0.8466,,,,,,,,,,,,,,88,0.0271,0.8278,0.1751,-6.3079,34.2038,5.4920,-6.3349,33.3760,5.3169
1,Line,1.1632,,,,,,,,,,,,,,269,-0.0261,-1.1282,-0.2818,-6.3510,32.3356,5.0254,-6.3250,33.4638,5.3072
1,Line,0.7147,,,,,,,,,,,,,,84,0.0727,0.7101,-0.0356,-7.1996,17.1419,6.1407,-7.2723,16.4318,6.1763
1,Line,0.7458,,,,,,,,,,,,,,259,-0.1410,-0.7101,-0.1792,-7.3407,16.4318,5.9615,-7.1996,17.1419,6.1407
1,Line,0.4081,,,,,,,,,,,,,,101,-0.0746,0.3907,-0.0912,-6.7307,16.4318,7.0804,-6.6562,16.0411,7.1716
1,Line,0.4408,,,,,,,,,,,,,,265,-0.0339,-0.3907,0.2012,-6.2317,16.0411,6.7392,-6.1978,16.4318,6.5379
