Count,Name,Length,Area,Center X,Center Y,Center Z,Circumference,Diameter,Radius,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.0457,,,,,,,,,,,,,,149,0.0027,0.0027,-0.0100,2.1532,2.6610,0.2941,2.1469,2.6547,0.3173
1,Line,0.1133,,,,,,,,,,,,,,13,0.0000,0.0064,0.0400,2.1469,2.6695,0.4101,2.1469,2.6547,0.3173
1,Line,0.0450,,,,,,,,,,,,,,131,0.0027,0.0014,-0.0140,2.1532,2.6361,0.2245,2.1469,2.6329,0.2570
1,Line,0.1144,,,,,,,,,,,,,,98,-0.0112,0.0009,-0.0040,2.1124,2.6928,0.1572,2.1384,2.6907,0.1665
1,Line,0.1122,,,,,,,,,,,,,,103,0.0110,0.0000,0.0060,2.1384,2.6075,0.0226,2.1129,2.6075,0.0087
1,Line,0.1982,,,,,,,,,,,,,,13,0.0000,-0.0164,-0.0460,2.1384,2.6525,0.0598,2.1384,2.6907,0.1665
1,Line,0.2313,,,,,,,,,,,,,,46,0.0112,-0.0174,-0.0420,2.1384,2.6525,0.0598,2.1124,2.6928,0.1572
1,Line,0.2057,,,,,,,,,,,,,,13,0.0000,-0.0199,-0.0170,2.1129,2.6075,0.0087,2.1129,2.6536,0.0482
1,Line,0.1121,,,,,,,,,,,,,,101,-0.0110,0.0005,-0.0050,2.1129,2.6536,0.0482,2.1384,2.6525,0.0598
1,Line,0.2007,,,,,,,,,,,,,,14,0.0002,-0.0194,0.0160,2.1389,2.5625,0.0598,2.1384,2.6075,0.0226
1,Line,0.2007,,,,,,,,,,,,,,13,0.0000,-0.0194,-0.0160,2.1384,2.6075,0.0226,2.1384,2.6525,0.0598
1,Line,0.2320,,,,,,,,,,,,,,42,0.0110,-0.0199,-0.0110,2.1384,2.6075,0.0226,2.1129,2.6536,0.0482
1,Line,0.1314,,,,,,,,,,,,,,0,-0.0027,-0.0121,-0.0160,2.1469,2.6329,0.2570,2.1532,2.6610,0.2941
1,Line,0.4084,,,,,,,,,,,,,,103,-0.0402,0.0000,0.0000,2.0388,2.6152,0.5101,2.1320,2.6152,0.5101
1,Line,0.4084,,,,,,,,,,,,,,103,-0.0402,0.0000,0.0000,2.0388,2.6154,0.5191,2.1320,2.6154,0.5191
1,Line,0.4084,,,,,,,,,,,,,,103,-0.0402,0.0000,0.0000,2.0388,2.5996,0.5191,2.1320,2.5996,0.5191
1,Line,0.4084,,,,,,,,,,,,,,103,-0.0402,0.0000,0.0000,2.0388,2.6152,0.5281,2.1320,2.6152,0.5281
1,Line,0.4084,,,,,,,,,,,,,,103,-0.0402,0.0000,0.0000,2.0388,2.6019,0.5437,2.1320,2.6019,0.5437
1,Line,0.4084,,,,,,,,,,,,,,103,-0.0402,0.0000,0.0000,2.0388,2.6075,0.5539,2.1320,2.6075,0.5539
1,Line,0.4084,,,,,,,,,,,,,,103,-0.0402,0.0000,0.0000,2.0388,2.6096,0.5527,2.1320,2.6096,0.5527
1,Line,0.4084,,,,,,,,,,,,,,103,-0.0402,0.0000,0.0000,2.0388,2.6035,0.5492,2.1320,2.6035,0.5492
1,Line,0.4084,,,,,,,,,,,,,,103,-0.0402,0.0000,0.0000,2.0388,2.6054,0.5527,2.1320,2.6054,0.5527
1,Line,0.0046,,,,,,,,,,,,,,13,0.0000,-0.0005,0.0000,2.0790,2.5397,0.5191,2.0790,2.5408,0.5191
1,Group_31,,,,,,,,,2.1537,2.7283,0.0087,2.3203,2.3203,2.3203,,,,,,,,,,
1,Line,0.1126,,,,,,,,,,,,,,13,0.0000,0.0094,0.0260,2.1469,2.6547,0.3173,2.1469,2.6329,0.2570
1,Line,0.0033,,,,,,,,,,,,,,13,0.0000,-0.0002,-0.0010,2.0790,2.5598,0.3150,2.0790,2.5604,0.3173
1,Line,0.4084,,,,,,,,,,,,,,103,-0.0402,0.0000,0.0000,2.0388,2.6096,0.4855,2.1320,2.6096,0.4855
1,Line,0.4084,,,,,,,,,,,,,,103,-0.0402,0.0000,0.0000,2.0388,2.6144,0.5017,2.1320,2.6144,0.5017
1,Circle,,0.0038,2.1320,2.6075,0.5191,0.2187,0.0696,0.0348,,,,,,,,,,,,,,,,
1,Line,0.4084,,,,,,,,,,,,,,103,-0.0402,0.0000,0.0000,2.0388,2.6131,0.4945,2.1320,2.6131,0.4945
1,Line,0.4084,,,,,,,,,,,,,,103,-0.0402,0.0000,0.0000,2.0388,2.6054,0.4855,2.1320,2.6054,0.4855
1,Line,0.1274,,,,,,,,,,,,,,13,0.0000,0.0123,-0.0100,2.1532,2.6361,0.8137,2.1532,2.6075,0.8369
1,Line,0.1286,,,,,,,,,,,,,,27,-0.0027,0.0110,-0.0250,2.1469,2.6329,0.7789,2.1532,2.6075,0.8369
1,Line,0.0474,,,,,,,,,,,,,,72,0.0027,-0.0016,0.0150,2.1532,2.5784,0.8137,2.1469,2.5821,0.7789
1,Line,0.1138,,,,,,,,,,,,,,13,0.0000,-0.0110,-0.0100,2.1469,2.5821,0.7789,2.1469,2.6075,0.8021
1,Line,0.0446,,,,,,,,,,,,,,102,0.0027,0.0000,0.0150,2.1532,2.6075,0.8369,2.1469,2.6075,0.8021
1,Line,0.0467,,,,,,,,,,,,,,129,0.0027,0.0014,0.0150,2.1532,2.6361,0.8137,2.1469,2.6329,0.7789
1,Line,0.1126,,,,,,,,,,,,,,13,0.0000,-0.0094,0.0260,2.1469,2.6329,0.7789,2.1469,2.6547,0.7186
1,Line,0.1138,,,,,,,,,,,,,,13,0.0000,-0.0110,0.0100,2.1469,2.6075,0.8021,2.1469,2.6329,0.7789
1,Line,0.1294,,,,,,,,,,,,,,13,0.0000,0.0107,-0.0300,2.1532,2.6610,0.7441,2.1532,2.6361,0.8137
1,Line,0.1133,,,,,,,,,,,,,,13,0.0000,-0.0064,-0.0400,2.1474,2.5455,0.6258,2.1474,2.5604,0.7186
