Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z
1,Line,,,,,,,180,-3.2624,0.0000,-13.1293,-52.9126,442.3839,81.0995,13.5286,-49.6502,442.3839,94.2288
1,Line,,,,,,,74,-0.3830,-1.3257,-1.5415,-49.6502,442.3839,94.2288,2.0689,-49.2672,443.7096,95.7703
1,Line,,,,,,,106,-0.3830,1.3257,-1.5415,-53.2957,522.7611,79.5580,2.0689,-52.9126,521.4354,81.0995
1,Line,,,,,,,180,0.7155,0.0000,2.8796,-52.1971,352.1866,83.9791,2.9671,-52.9126,352.1866,81.0995
1,Line,,,,,,,74,0.3830,1.3257,1.5415,-52.9126,352.1866,81.0995,2.0689,-53.2957,350.8609,79.5580
1,Line,,,,,,,90,0.0000,5.9656,0.0000,-53.2957,528.7267,79.5580,5.9656,-53.2957,522.7611,79.5580
1,Line,,,,,,,106,0.3830,-1.3257,1.5415,-49.2672,528.7267,95.7703,2.0689,-49.6502,530.0524,94.2288
1,Line,,,,,,,0,3.2624,0.0000,13.1293,-49.6502,530.0524,94.2288,13.5286,-52.9126,530.0524,81.0995
1,Line,,,,,,,74,0.3830,1.3257,1.5415,-52.9126,530.0524,81.0995,2.0689,-53.2957,528.7267,79.5580
1,Line,,,,,,,90,0.0000,-5.9656,0.0000,-49.2672,344.8953,95.7703,5.9656,-49.2672,350.8609,95.7703
1,Line,,,,,,,106,0.3830,-1.3257,1.5415,-49.2672,350.8609,95.7703,2.0689,-49.6502,352.1866,94.2288
1,Line,,,,,,,106,-0.3830,1.3257,-1.5415,-53.2957,542.5239,79.5580,2.0689,-52.9126,541.1983,81.0995
1,Line,,,,,,,74,-0.3830,-1.3257,-1.5415,-49.6502,343.5696,94.2288,2.0689,-49.2672,344.8953,95.7703
1,Line,,,,,,,90,0.0000,5.9656,0.0000,-53.2957,350.8609,79.5580,5.9656,-53.2957,344.8953,79.5580
1,Line,,,,,,,106,-0.3830,1.3257,-1.5415,-53.2957,344.8953,79.5580,2.0689,-52.9126,343.5696,81.0995
1,Line,,,,,,,0,-2.8907,0.0000,-11.6333,-52.5409,343.5696,82.5955,11.9871,-49.6502,343.5696,94.2288
1,Line,,,,,,,180,-12.8416,0.0000,-3.1909,-12.8416,769.0155,135.4980,13.2321,0.0000,769.0155,138.6890
1,Line,,,,,,,74,0.5019,1.7371,2.0198,-49.0643,403.8930,96.5869,2.7109,-49.5662,402.1559,94.5671
1,Line,,,,,,,0,2.7933,0.0000,11.2411,-50.2034,402.1559,92.0024,11.5830,-52.9967,402.1559,80.7613
1,Line,,,,,,,106,0.5019,-1.7371,2.0198,-52.9967,402.1559,80.7613,2.7109,-53.4986,403.8930,78.7415
1,Line,,,,,,,90,0.0000,6.5474,0.0000,-49.0643,410.4404,96.5869,6.5474,-49.0643,403.8930,96.5869
1,Line,,,,,,,90,0.0000,6.5474,0.0000,-49.0643,390.6775,96.5869,6.5474,-49.0643,384.1301,96.5869
