Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Area,Center X,Center Y,Center Z,Circumference,Diameter,Radius,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z
1,Line,,,,,,,,,,,,,,104,0.1050,-2.9136,0.0074,6.0807,-22.9413,8.0767,6.0470,5.8680,-17.0375,8.0617
1,Line,,,,,,,,,,,,,,12,2.1347,0.0000,0.0558,18.6646,-11.1338,8.1598,4.4290,14.3390,-11.1338,8.0468
1,Line,,,,,,,,,,,,,,12,2.1508,0.0000,-0.0558,10.0134,-11.1338,7.9338,4.4622,5.6553,-11.1338,8.0468
1,Line,,,,,,,,,,,,,,12,-2.0458,0.0000,0.0533,1.7226,-17.0375,8.1698,4.2445,5.8680,-17.0375,8.0617
1,Line,,,,,,,,,,,,,,104,0.1050,-2.9136,0.0074,5.8680,-17.0375,8.0617,6.0470,5.6553,-11.1338,8.0468
1,Line,,,,,,,,,,,,,,154,-0.7020,0.5481,-0.0262,16.8915,7.7660,12.4144,1.8479,18.3139,6.6554,12.4676
1,Line,,,,,,,,,,,,,,154,0.6859,-0.5481,0.3018,18.2814,6.6554,13.0260,1.9210,16.8915,7.7660,12.4144
1,Line,,,,,,,,,,,,,,151,-0.6218,0.5481,-0.5380,16.8915,7.7660,12.4144,2.0358,18.1515,6.6554,13.5046
1,Line,,,,,,,,,,,,,,146,-0.5225,0.5481,0.6430,16.8915,7.7660,12.4144,2.0407,17.9502,6.6554,11.1114
1,Line,,,,,,,,,,,,,,150,-0.6058,0.5481,0.4856,16.8915,7.7660,12.4144,1.9594,18.1190,6.6554,11.4305
1,Line,,,,,,,,,,,,,,152,0.6539,-0.5481,-0.2493,18.2165,6.6554,11.9092,1.8403,16.8915,7.7660,12.4144
1,Line,,,,,,,,,,,,,,54,0.6186,0.5481,-0.0262,3.1288,7.7660,12.4144,1.7151,1.8753,6.6554,12.4676
1,Line,,,,,,,,,,,,,,53,-0.6379,-0.5481,0.3018,1.8363,6.6554,13.0260,1.8484,3.1288,7.7660,12.4144
1,Line,,,,,,,,,,,,,,55,0.5866,0.5481,-0.5380,3.1288,7.7660,12.4144,1.9902,1.9402,6.6554,13.5046
1,Line,,,,,,,,,,,,,,63,-0.4552,-0.5481,-0.6430,2.2065,6.6554,11.1114,1.9701,3.1288,7.7660,12.4144
1,Line,,,,,,,,,,,,,,59,0.5225,0.5481,0.4856,3.1288,7.7660,12.4144,1.8533,2.0701,6.6554,11.4305
1,Line,,,,,,,,,,,,,,56,-0.5705,-0.5481,-0.2493,1.9727,6.6554,11.9092,1.7169,3.1288,7.7660,12.4144
1,Line,,,,,,,,,,,,,,98,-0.1955,-2.9136,0.0049,18.2684,-17.0375,8.1698,6.0566,18.6646,-11.1338,8.1598
1,Line,,,,,,,,,,,,,,92,1.0834,5.8271,0.4888,20.0675,-11.1338,9.1703,12.3330,17.8722,-22.9413,8.1797
1,Line,,,,,,,,,,,,,,12,1.9392,0.0000,0.0509,13.9428,-22.9413,8.0767,4.0234,10.0134,-22.9413,7.9736
1,Line,,,,,,,,,,,,,,99,-0.3526,-5.8271,0.0328,19.3531,-22.9413,9.2367,12.1083,20.0675,-11.1338,9.1703
1,Line,,,,,,,,,,,,,,99,0.3846,5.8271,0.7907,20.1325,-11.1338,10.8389,12.2178,19.3531,-22.9413,9.2367
1,Line,,,,,,,,,,,,,,101,0.1474,5.8271,-0.0394,20.1325,-11.1338,10.8389,12.0902,19.8337,-22.9413,10.9186
1,Line,,,,,,,,,,,,,,112,0.0416,-0.2354,0.0328,19.8727,-2.2165,14.2824,0.5002,19.7883,-1.7395,14.2160
1,Line,,,,,,,,,,,,,,11,-0.0843,0.0000,0.3346,19.0413,0.9790,14.8940,0.7003,19.2122,0.9790,14.2160
1,Line,,,,,,,,,,,,,,176,-0.0007,0.0000,0.0328,19.8727,-2.2165,14.2824,0.0665,19.8741,-2.2165,14.2160
1,Line,,,,,,,,,,,,,,97,0.0768,0.8602,-0.3642,1.2453,4.3238,13.4781,1.9373,1.0896,2.5807,14.2160
1,Line,,,,,,,,,,,,,,14,-0.0928,0.0000,-0.3642,1.2453,4.3238,13.4781,0.7626,1.4333,4.3238,14.2160
1,Line,,,,,,,,,,,,,,14,-0.0414,0.0000,-0.1870,0.7127,0.9790,13.8370,0.3885,0.7965,0.9790,14.2160
1,Line,,,,,,,,,,,,,,102,0.0000,-0.9263,-0.0295,10.0134,-11.1338,7.9338,1.9222,10.0134,-9.2568,7.9936
1,Line,,,,,,,,,,,,,,24,4.3913,0.9263,0.1608,18.9114,-9.2568,8.2595,9.3139,10.0134,-11.1338,7.9338
1,Line,,,,,,,,,,,,,,12,2.1347,0.0000,0.0558,14.3390,-11.1338,8.0468,4.4290,10.0134,-11.1338,7.9338
1,Line,,,,,,,,,,,,,,68,0.6443,0.9263,0.6135,19.9701,-9.2568,9.4029,2.6500,18.6646,-11.1338,8.1598
1,Line,,,,,,,,,,,,,,13,0.6923,0.0000,0.4987,20.0675,-11.1338,9.1703,1.7559,18.6646,-11.1338,8.1598
1,Line,,,,,,,,,,,,,,12,-4.3913,0.0000,-0.1312,10.0134,-9.2568,7.9936,9.1116,18.9114,-9.2568,8.2595
1,Line,,,,,,,,,,,,,,104,0.1474,-5.8271,0.0394,0.1866,-22.9413,10.9186,12.0902,-0.1122,-11.1338,10.8389
1,Line,,,,,,,,,,,,,,103,-0.1154,5.8271,-0.8628,-0.0472,-11.1338,9.1703,12.2142,0.1866,-22.9413,10.9186
1,Line,,,,,,,,,,,,,,12,1.9408,0.0000,-0.0509,6.0807,-22.9413,8.0767,4.0267,2.1481,-22.9413,8.1797
1,Line,,,,,,,,,,,,,,106,0.3526,-5.8271,0.0328,0.6672,-22.9413,9.2367,12.1083,-0.0472,-11.1338,9.1703
1,Line,,,,,,,,,,,,,,99,0.3109,5.8271,-0.5315,1.2972,-11.1338,8.1598,12.1510,0.6672,-22.9413,9.2367
1,Line,,,,,,,,,,,,,,106,-0.2099,2.9136,-0.0049,1.7226,-17.0375,8.1698,6.0587,2.1481,-22.9413,8.1797
1,Line,,,,,,,,,,,,,,95,0.1147,0.9520,-0.6496,0.6997,-41.7891,12.8997,2.3849,0.4672,-43.7181,14.2160
1,Line,,,,,,,,,,,,,,11,0.2747,0.0000,-0.7480,1.1024,-44.3221,12.7003,1.6193,0.5458,-44.3221,14.2160
1,Line,,,,,,,,,,,,,,91,-0.0254,-0.1219,-0.0230,19.1193,-46.7576,14.1694,0.2625,19.1707,-46.5105,14.2160
1,Line,,,,,,,,,,,,,,11,0.1661,0.0000,-0.6496,0.6997,-41.7891,12.8997,1.3606,0.3631,-41.7891,14.2160
1,Line,,,,,,,,,,,,,,83,0.1329,0.3811,0.3281,19.8012,-41.7891,14.8808,1.0690,19.5319,-42.5614,14.2160
1,Line,,,,,,,,,,,,,,13,0.0747,0.0000,0.2034,19.6259,-44.3221,14.6281,0.4403,19.4745,-44.3221,14.2160
1,Line,,,,,,,,,,,,,,114,0.0254,-0.1219,-0.0230,0.9010,-46.7576,14.1694,0.2625,0.8496,-46.5105,14.2160
1,Line,,,,,,,,,,,,,,8,0.0021,0.0000,-0.0230,0.9010,-46.7576,14.1694,0.0467,0.8969,-46.7576,14.2160
1,Line,,,,,,,,,,,,,,93,0.1579,0.9148,0.7644,19.2622,-46.7576,15.7649,2.4712,18.9423,-48.6113,14.2160
1,Line,,,,,,,,,,,,,,92,0.2163,1.1753,1.0105,19.5674,-44.3221,16.2635,3.2149,19.1292,-46.7035,14.2160
1,Line,,,,,,,,,,,,,,16,0.0685,0.0000,0.7644,19.2622,-46.7576,15.7649,1.5555,19.1234,-46.7576,14.2160
1,Line,,,,,,,,,,,,,,78,0.1008,0.2211,0.2034,19.6259,-44.3221,14.6281,0.6511,19.4215,-44.7702,14.2160
1,Line,,,,,,,,,,,,,,104,-0.0058,0.1565,0.0328,19.8727,-2.2165,14.2824,0.3316,19.8844,-2.5336,14.2160
1,Line,,,,,,,,,,,,,,103,0.0000,0.0000,0.2132,20.1325,-9.2568,14.6481,0.4321,20.1325,-9.2568,14.2160
1,Line,,,,,,,,,,,,,,103,0.0000,0.0000,-1.6043,-0.1122,-9.2568,10.9652,3.2509,-0.1122,-9.2568,14.2160
1,Line,,,,,,,,,,,,,,103,0.0000,0.0000,-1.4239,0.1151,-2.2165,11.3308,2.8852,0.1151,-2.2165,14.2160
