Count,Name,Length,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.5169,,,,,,,,,,,,,,350,0.5087,-0.0916,0.0000,-29.5366,-14.9799,34.8322,-30.0454,-14.8883,34.8322
1,Line,0.5169,,,,,,,,,,,,,,350,0.5087,-0.0916,0.0000,-29.5931,-15.2168,34.7392,-30.1018,-15.1252,34.7392
1,Line,0.5169,,,,,,,,,,,,,,350,0.5087,-0.0916,0.0000,-29.5925,-15.2144,34.8832,-30.1012,-15.1228,34.8832
1,Line,0.0579,,,,,,,,,,,,,,77,0.0124,0.0519,0.0224,-29.2359,-15.2023,34.1426,-29.2483,-15.2542,34.1202
1,Line,2.7976,,,,,,,,,,,,,,174,-2.7656,0.2691,0.3256,-28.8154,-14.9216,33.9684,-26.0498,-15.1907,33.6429
1,Line,2.8000,,,,,,,,,,,,,,353,2.7478,-0.3436,-0.4138,-26.0675,-15.2652,33.5547,-28.8154,-14.9216,33.9684
1,Line,0.5169,,,,,,,,,,,,,,170,-0.5087,0.0916,0.0000,-30.0226,-14.7926,34.3368,-29.5139,-14.8842,34.3368
1,Line,10.6166,,,,,,,,,,,,,,353,10.3949,-1.2941,1.7274,-23.1561,-1.2941,30.6290,-33.5510,0.0000,28.9016
1,Line,4.1651,,,,,,,,,,,,,,0,4.1579,0.0000,0.2444,-4.4454,-1.7637,31.6186,-8.6033,-1.7637,31.3742
1,Line,6.2943,,,,,,,,,,,,,,8,6.2369,0.8360,-0.1406,-8.6033,-3.3482,31.4348,-14.8403,-4.1842,31.5754
1,Line,1.5587,,,,,,,,,,,,,,270,0.0000,-0.9489,-1.2366,-4.4454,-1.9672,32.0605,-4.4454,-1.0183,33.2971
1,3D Polyline,0.3189,,,,,,,,,,,,,,,,,,,,,,,
1,Line,6.2369,,,,,,,,,,,,,,0,6.2369,0.0000,0.0000,-8.6033,-3.0019,31.3184,-14.8403,-3.0019,31.3184
1,Line,3.9418,,,,,,,,,,,,,,274,0.2826,-3.9294,-0.1337,-28.0710,-7.4650,35.1402,-28.3536,-3.5355,35.2739
1,Line,5.2015,,,,,,,,,,,,,,0,5.1974,0.0000,-0.2050,-23.1561,-3.5355,35.0689,-28.3536,-3.5355,35.2739
1,Line,8.3159,,,,,,,,,,,,,,0,8.3159,0.0000,0.0000,-14.8403,-3.7515,33.6993,-23.1561,-3.7515,33.6993
1,Arc,1.1341,,,,,,,0.0280,-14.8403,0.0000,31.5334,4.3318,15,15,,,,,,,,,,
1,Line,8.3159,,,,,,,,,,,,,,0,8.3159,0.0000,0.0000,-14.8403,-4.1842,32.6545,-23.1561,-4.1842,32.6545
1,Arc,1.1341,,,,,,,0.0280,-23.1561,0.0000,31.5334,4.3318,15,15,,,,,,,,,,
1,Arc,0.5332,,,,,,,0.0062,-4.4454,0.0000,31.5334,2.0366,15,15,,,,,,,,,,
1,Arc,0.5332,,,,,,,0.0062,-4.4454,0.0000,31.5334,2.0366,30,15,,,,,,,,,,
1,Arc,0.5332,,,,,,,0.0062,-4.4454,0.0000,31.5334,2.0366,45,15,,,,,,,,,,
1,3D Polyline,0.3653,,,,,,,,,,,,,,,,,,,,,,,
1,Line,5.1975,,,,,,,,,,,,,,180,-5.1974,0.0000,-0.0239,-33.5510,-1.2941,36.3630,-28.3536,-1.2941,36.3868
1,Line,5.3611,,,,,,,,,,,,,,193,-5.1974,-1.2059,-0.5234,-33.5510,-2.5000,35.8635,-28.3536,-1.2941,36.3868
1,Arc,1.3090,,,,,,,0.0373,-33.5510,0.0000,31.5334,5.0000,105,15,,,,,,,,,,
1,Line,0.0256,,,,,,,,,,,,,,75,0.0010,0.0038,0.0253,-1.2917,-12.8288,34.5986,-1.2927,-12.8326,34.5734
1,Line,2.3982,,,,,,,,,,,,,,97,-0.2868,2.3565,-0.3411,-1.5795,-10.4761,34.2323,-1.2927,-12.8326,34.5734
1,Line,0.0256,,,,,,,,,,,,,,75,0.0010,0.0038,0.0253,-1.5785,-10.4723,34.2576,-1.5795,-10.4761,34.2323
1,Line,2.3982,,,,,,,,,,,,,,97,-0.2868,2.3565,-0.3411,-1.5785,-10.4723,34.2576,-1.2917,-12.8288,34.5986
1,Line,4.3860,,,,,,,,,,,,,,180,-4.1464,0.0000,1.4298,-8.1721,-0.1215,35.9227,-4.0256,-0.1215,34.4930
1,3D Polyline,0.3653,,,,,,,,,,,,,,,,,,,,,,,
1,Line,6.2369,,,,,,,,,,,,,,0,6.2369,0.0000,0.0000,-8.6033,-3.3482,31.4348,-14.8403,-3.3482,31.4348
1,Line,4.4405,,,,,,,,,,,,,,353,4.1464,-0.5271,-1.4992,-4.0256,-0.6486,34.4236,-8.1721,-0.1215,35.9227
1,Line,0.5002,,,,,,,,,,,,,,71,0.0257,0.0739,0.4940,-8.5776,-3.2743,32.9245,-8.6033,-3.3482,32.4305
1,Line,4.9216,,,,,,,,,,,,,,169,-4.4102,0.8360,2.0183,-14.8403,-2.1659,35.2848,-10.4301,-3.0019,33.2665
1,Arc,0.5332,,,,,,,0.0062,-4.0256,-0.1215,32.4564,2.0366,75,15,,,,,,,,,,
1,Line,2.2058,,,,,,,,,,,,,,321,1.7164,-1.3810,0.1105,-39.5584,-3.3482,33.0049,-41.2748,-1.9672,32.8944
1,3D Polyline,1.3024,,,,,,,,,,,,,,,,,,,,,,,
1,Line,4.0198,,,,,,,,,,,,,,180,0.0000,0.0000,4.0198,-28.3536,0.0000,36.5334,-28.3536,0.0000,32.5136
1,Line,2.2491,,,,,,,,,,,,,,171,-1.6592,0.2712,1.4939,-4.0256,-0.1215,34.4930,-2.3664,-0.3927,32.9991
1,3D Polyline,1.2801,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0.2178,,,,,,,,,,,,,,71,0.0112,0.0322,0.2151,-8.5269,-3.4228,32.8019,-8.5381,-3.4550,32.5868
1,Line,5.0000,,,,,,,,,,,,,,270,0.0000,-5.0000,0.0000,-28.3536,-5.0000,32.5136,-28.3536,0.0000,32.5136
1,3D Polyline,0.8499,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0.1529,,,,,,,,,,,,,,350,0.1505,-0.0271,0.0000,-25.9428,-15.4001,34.4345,-26.0932,-15.3730,34.4345
1,Line,0.1529,,,,,,,,,,,,,,350,0.1505,-0.0271,0.0000,-25.9388,-15.3837,34.3628,-26.0893,-15.3566,34.3628
1,Line,0.1529,,,,,,,,,,,,,,350,0.1505,-0.0271,0.0000,-26.1905,-16.4405,34.4409,-26.3410,-16.4134,34.4409
1,Line,0.1529,,,,,,,,,,,,,,350,0.1505,-0.0271,0.0000,-25.9390,-15.3843,34.3703,-26.0894,-15.3572,34.3703
1,Line,0.7139,,,,,,,,,,,,,,293,0.2841,-0.6535,0.0425,-28.0783,-13.0977,34.9290,-28.3624,-12.4442,34.8865
1,Line,0.2472,,,,,,,,,,,,,,259,-0.0124,-0.0649,-0.2382,-28.0907,-13.1626,34.6907,-28.0783,-13.0977,34.9290
1,Line,0.2170,,,,,,,,,,,,,,71,0.0111,0.0320,0.2143,-8.0324,-4.4001,32.9281,-8.0436,-4.4321,32.7138
1,Line,0.8264,,,,,,,,,,,,,,294,0.3397,-0.7469,0.0983,-8.1872,-4.1697,32.9002,-8.5269,-3.4228,32.8019
1,3D Polyline,0.9754,,,,,,,,,,,,,,,,,,,,,,,
1,Line,3.4328,,,,,,,,,,,,,,180,-3.4328,0.0000,0.0000,-36.9838,-4.1842,33.1976,-33.5510,-4.1842,33.1976
1,3D Polyline,0.9754,,,,,,,,,,,,,,,,,,,,,,,
1,Line,3.4328,,,,,,,,,,,,,,180,-3.4328,0.0000,0.0000,-36.9838,-4.3318,32.2334,-33.5510,-4.3318,32.2334
1,Line,2.1691,,,,,,,,,,,,,,149,-1.7164,1.0348,-0.8295,-41.2748,-1.9672,32.8944,-39.5584,-3.0019,33.7239
1,3D Polyline,0.7980,,,,,,,,,,,,,,,,,,,,,,,
1,Line,5.3735,,,,,,,,,,,,,,191,-5.1974,-1.0355,-0.8884,-33.5510,-3.5355,35.0689,-28.3536,-2.5000,35.9573
1,Line,0.5002,,,,,,,,,,,,,,71,0.0257,0.0739,0.4940,-8.1219,-4.2764,33.0564,-8.1476,-4.3503,32.5624
1,Line,1.1087,,,,,,,,,,,,,,294,0.4557,-1.0021,0.1319,-8.1476,-4.3503,32.5624,-8.6033,-3.3482,32.4305
1,Line,0.2178,,,,,,,,,,,,,,251,-0.0112,-0.0322,-0.2151,-8.1984,-4.2018,32.6851,-8.1872,-4.1697,32.9002
1,Line,5.3023,,,,,,,,,,,,,,9,5.1974,0.7946,0.6855,-23.1561,-3.5355,35.0689,-28.3536,-4.3301,34.3834
1,3D Polyline,0.6163,,,,,,,,,,,,,,,,,,,,,,,
1,Line,8.4207,,,,,,,,,,,,,,7,8.3159,1.0782,-0.7694,-14.8403,-3.7515,31.1366,-23.1561,-4.8296,31.9060
1,Line,8.3474,,,,,,,,,,,,,,4,8.3159,0.6454,-0.3307,-14.8403,-4.1842,31.5754,-23.1561,-4.8296,31.9060
1,Line,6.2369,,,,,,,,,,,,,,0,6.2369,0.0000,0.0000,-8.6033,-3.3482,32.4305,-14.8403,-3.3482,32.4305
1,Line,5.2179,,,,,,,,,,,,,,183,-5.1974,-0.3019,-0.3500,-33.5510,-4.6321,34.0334,-28.3536,-4.3301,34.3834
1,3D Polyline,1.1935,,,,,,,,,,,,,,,,,,,,,,,
1,Line,5.2015,,,,,,,,,,,,,,180,-5.1974,0.0000,-0.2050,-33.5510,-3.5355,35.0689,-28.3536,-3.5355,35.2739
1,Line,5.4548,,,,,,,,,,,,,,12,5.1974,1.0965,1.2406,-28.3536,-3.5355,35.2739,-33.5510,-4.6321,34.0334
1,Line,2.1690,,,,,,,,,,,,,,324,1.7164,-1.2382,0.4747,-39.5584,-3.0019,33.7239,-41.2748,-1.7637,33.2492
1,Line,1.9897,,,,,,,,,,,,,,158,-1.7164,0.6873,-0.7352,-41.2748,-1.7637,33.2492,-39.5584,-2.4511,33.9844
1,Arc,0.6111,,,,,,,0.0081,-39.5584,-1.7370,31.7620,2.3343,108,15,,,,,,,,,,
1,Line,1.5682,,,,,,,,,,,,,,172,-1.5393,0.2119,-0.2119,-35.1788,-3.2399,34.8998,-33.6395,-3.4518,35.1116
1,Line,1.2674,,,,,,,,,,,,,,188,-1.2248,-0.1814,-0.2707,-26.0434,-6.4762,33.9671,-24.8186,-6.2949,34.2378
1,Line,4.1579,,,,,,,,,,,,,,0,4.1579,0.0000,0.0000,-4.4454,-2.0366,31.8834,-8.6033,-2.0366,31.8834
1,Line,1.0421,,,,,,,,,,,,,,90,0.0000,0.8268,0.6344,-35.1788,-2.4131,35.5342,-35.1788,-3.2399,34.8998
