Count,Name,Length,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z
1,Line,18.1003,25,-16.2841,-7.7512,1.5390,-1159.2971,5590.2292,1135.4557,-1143.0130,5597.9804,1133.9167,,,,,,
1,Line,44.8856,23,40.9701,17.6821,-4.8485,-1269.1874,5539.0015,1164.3617,-1310.1575,5521.3193,1169.2101,,,,,,
1,Line,35.5315,136,25.4393,-24.7054,-2.2297,-803.6739,5428.4600,1101.2972,-829.1132,5453.1654,1103.5269,,,,,,
1,Line,69.9044,136,50.0491,-48.6052,-4.3867,-829.1132,5453.1654,1103.5269,-879.1622,5501.7706,1107.9136,,,,,,
1,Line,78.7051,173,-78.0783,9.1044,3.9219,-770.8799,5446.3750,1126.6854,-692.8016,5437.2706,1122.7635,,,,,,
1,Line,47.4345,173,-47.0251,5.4834,2.9332,-817.9050,5451.8584,1129.6186,-770.8799,5446.3750,1126.6854,,,,,,
1,Line,61.8000,173,-61.2572,7.1430,3.9721,-879.1622,5459.0014,1133.5906,-817.9050,5451.8584,1129.6186,,,,,,
1,Line,14.8762,173,-14.7678,1.7220,0.4974,-568.8130,5422.8127,1118.0180,-554.0452,5421.0907,1117.5205,,,,,,
1,Line,94.3688,173,-93.6769,10.9233,3.2851,-662.4899,5433.7360,1121.3030,-568.8130,5422.8127,1118.0180,,,,,,
1,Line,30.5520,173,-30.3117,3.5345,1.4605,-692.8016,5437.2706,1122.7635,-662.4899,5433.7360,1121.3030,,,,,,
1,Line,17.4926,173,-17.2702,2.0138,1.9171,-1089.5305,5483.5317,1150.3128,-1072.2603,5481.5179,1148.3958,,,,,,
1,Line,73.5198,173,72.5829,-8.4636,-8.0773,-1016.9476,5475.0681,1119.2171,-1089.5305,5483.5317,1127.2944,,,,,,
1,Line,30.0464,173,29.6636,-3.4590,-3.3003,-987.2840,5471.6091,1115.9168,-1016.9476,5475.0681,1119.2171,,,,,,
1,Line,65.8571,173,-65.3408,7.6192,3.1131,-944.5030,5466.6206,1136.7037,-879.1622,5459.0014,1133.5906,,,,,,
1,Line,43.1305,173,-42.7810,4.9885,2.2683,-987.2840,5471.6091,1138.9720,-944.5030,5466.6206,1136.7037,,,,,,
1,Line,86.0695,173,-84.9763,9.9088,9.4238,-1072.2603,5481.5179,1148.3958,-987.2840,5471.6091,1138.9720,,,,,,
1,Line,108.9318,173,-108.1648,12.6127,2.7229,-554.0452,5421.0907,1117.5205,-445.8804,5408.4779,1114.7976,,,,,,
1,Line,29.5317,40,-22.5116,-19.1140,0.0350,-135.2304,5350.5151,1074.2385,-112.7187,5369.6291,1074.2035,,,,,,
1,Line,60.5897,173,-60.1808,7.0175,0.3839,-110.3409,5369.3519,1108.8703,-50.1602,5362.3344,1108.4864,,,,,,
1,Line,29.2715,173,-29.0725,3.3900,0.3502,-139.4134,5372.7419,1109.2205,-110.3409,5369.3519,1108.8703,,,,,,
1,Line,32.4384,171,-31.8898,5.0016,3.2053,-1143.0130,5702.0084,1134.9396,-1111.1232,5697.0068,1131.7343,,,,,,
1,Line,5.6526,170,-5.5426,1.0170,0.4446,-2578.3345,5891.6632,1271.2819,-2572.7919,5890.6462,1270.8373,,,,,,
1,Line,6.1583,154,-5.5426,2.6699,0.2754,-2578.3345,5926.8552,1267.6790,-2572.7919,5924.1853,1267.4036,,,,,,
1,Line,13.3855,173,-13.2939,1.5502,0.2032,-337.2039,5395.8056,1112.4123,-323.9100,5394.2554,1112.2091,,,,,,
1,Line,2.0222,173,-2.0082,0.2342,0.0419,-445.5989,5408.4451,1114.7910,-443.5907,5408.2110,1114.7491,,,,,,
1,Line,0.2835,173,-0.2815,0.0328,0.0066,-445.8804,5408.4779,1114.7976,-445.5989,5408.4451,1114.7910,,,,,,
1,Line,70.3846,173,-69.8983,8.1506,1.3397,-209.3116,5380.8925,1110.5602,-139.4134,5372.7419,1109.2205,,,,,,
1,Line,19.7409,173,-19.6017,2.2857,0.5035,-228.9133,5383.1782,1111.0636,-209.3116,5380.8925,1110.5602,,,,,,
1,Line,95.6472,173,-94.9967,11.0772,1.1455,-323.9100,5394.2554,1112.2091,-228.9133,5383.1782,1111.0636,,,,,,
1,Line,12.6054,170,12.3591,-2.1872,-1.1682,-1872.6750,5662.3360,1196.2496,-1885.0341,5664.5231,1197.4178,,,,,,
1,Line,93.6385,170,91.7907,-16.2439,-8.8755,-1780.8843,5646.0921,1187.3741,-1872.6750,5662.3360,1196.2496,,,,,,
1,Line,25.4457,170,24.9433,-4.4141,-2.4141,-1755.9410,5641.6779,1184.9600,-1780.8843,5646.0921,1187.3741,,,,,,
1,Line,1.6151,170,1.5835,-0.2802,-0.1498,-1988.1525,5682.7717,1207.1717,-1989.7361,5683.0519,1207.3215,,,,,,
1,Line,12.5861,170,12.3402,-2.1838,-1.1667,-1975.8124,5680.5879,1206.0050,-1988.1525,5682.7717,1207.1717,,,,,,
1,Line,92.5879,170,90.7783,-16.0648,-8.5872,-1885.0341,5664.5231,1197.4178,-1975.8124,5680.5879,1206.0050,,,,,,
1,Line,47.1997,170,46.2876,-8.1914,-4.2638,-1523.6377,5600.5679,1164.4258,-1569.9252,5608.7593,1168.6895,,,,,,
1,Line,56.9454,170,55.8812,-9.8891,-4.7200,-1467.7565,5590.6788,1159.7057,-1523.6377,5600.5679,1164.4258,,,,,,
