Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Area,Center X,Center Y,Center Z,Length,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,,,,,,,0.0715,,,,,,0,0.0000,0.0000,0.0000,-1.2563,3.7441,1.7106,-1.2563,3.7441,1.7106
1,Line,,,,,,,,,,,0.0715,,,,,,0,0.0000,0.0000,0.0000,-1.2563,3.7441,0.7806,-1.2563,3.7441,0.7806
1,Line,,,,,,,,,,,0.0715,,,,,,0,0.0000,0.0000,0.0000,-1.2563,3.7441,2.3683,-1.2563,3.7441,2.3683
1,Line,,,,,,,,,,,0.0715,,,,,,0,0.0000,0.0000,0.0000,-1.2563,3.7441,2.2340,-1.2563,3.7441,2.2340
1,Line,,,,,,,,,,,0.0715,,,,,,0,0.0000,0.0000,0.0000,-1.2563,3.7441,2.2593,-1.2563,3.7441,2.2593
1,Circle,,,,,,,0.0040,-1.2563,3.7441,2.2593,,0.0358,,,0.2248,0.0715,,,,,,,,,,
1,Circle,,,,,,,0.0040,-1.2563,3.7441,2.3198,,0.0358,,,0.2248,0.0715,,,,,,,,,,
1,Circle,,,,,,,0.0040,-1.2563,3.7441,1.5725,,0.0358,,,0.2248,0.0715,,,,,,,,,,
1,Line,,,,,,,,,,,0.0715,,,,,,0,0.0000,0.0000,0.0000,-1.2563,3.7441,2.2415,-1.2563,3.7441,2.2415
1,Line,,,,,,,,,,,0.0715,,,,,,0,0.0000,0.0000,0.0000,-1.2563,3.7441,2.1438,-1.2563,3.7441,2.1438
1,Circle,,,,,,,0.0040,-1.2563,3.7441,2.1438,,0.0358,,,0.2248,0.0715,,,,,,,,,,
1,Line,,,,,,,,,,,0.0715,,,,,,0,0.0000,0.0000,0.0000,-1.2563,3.7441,2.5161,-1.2563,3.7441,2.5161
1,Line,,,,,,,,,,,0.0715,,,,,,0,0.0000,0.0000,0.0000,-1.2563,3.7441,2.2501,-1.2563,3.7441,2.2501
1,Line,,,,,,,,,,,0.0715,,,,,,0,0.0000,0.0000,0.0000,-1.2563,3.7441,2.1531,-1.2563,3.7441,2.1531
1,Circle,,,,,,,0.0040,-1.2563,3.7441,2.1438,,0.0358,,,0.2248,0.0715,,,,,,,,,,
1,Line,,,,,,,,,,,0.0116,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,1.6532,-1.0087,14.4005,1.6532
1,Line,,,,,,,,,,,0.0282,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,3.6102,-1.0087,14.4005,3.6102
