Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,,,0.6823,,,,,,,,5,0.5703,0.0532,-0.0268,56.7151,22.9976,8.3850,56.0364,22.9343,8.4169
1,Line,,,,,,,0.6825,,,,,,,,3,-0.5704,-0.0269,-0.0527,56.0364,23.1108,7.8743,56.7152,23.1427,7.9370
1,Line,,,,,,,0.4710,,,,,,,,90,-0.0001,-0.1220,0.3765,56.7151,22.9976,8.3850,56.7152,23.1427,7.9370
1,Line,,,,,,,0.5748,,,,,,,,58,-0.2001,-0.3245,0.2965,56.7151,22.9976,8.3850,56.9531,23.3838,8.0322
1,Line,,,,,,,0.3515,,,,,,,,46,0.2001,0.2104,0.0542,56.9531,23.2480,8.4495,56.7151,22.9976,8.3850
1,Line,,,,,,,0.3518,,,,,,,,45,-0.1999,-0.2025,-0.0800,56.7152,23.1427,7.9370,56.9531,23.3838,8.0322
1,Line,,,,,,,1.4986,,,,,,,,49,-0.4806,-0.5510,1.0253,56.1471,29.9035,8.1005,56.7190,30.5592,6.8803
1,Line,,,,,,,0.1366,,,,,,,,84,-0.0128,-0.1135,0.0113,56.0823,29.2815,7.7556,56.0976,29.4166,7.7421
1,Line,,,,,,,2.4989,,,,,,,,37,-0.8079,-0.6044,1.8416,55.1209,28.5623,9.9471,56.0823,29.2815,7.7556
1,Line,,,,,,,0.2230,,,,,,,,90,-0.0001,-0.1486,-0.1141,56.0823,29.1047,7.6198,56.0823,29.2815,7.7556
1,Line,,,,,,,2.5585,,,,,,,,41,-0.8207,-0.7179,1.8530,55.1209,28.5623,9.9471,56.0976,29.4166,7.7421
1,Line,,,,,,,0.1901,,,,,,,,85,-0.0095,-0.1102,-0.1153,56.7190,30.5592,6.8803,56.7304,30.6903,7.0175
1,Line,,,,,,,1.5603,,,,,,,,61,-0.5222,-0.9602,0.7242,56.0976,29.4166,7.7421,56.7190,30.5592,6.8803
1,Line,,,,,,,0.6066,,,,,,,,84,0.0416,0.4092,0.3011,56.1471,29.9035,8.1005,56.0976,29.4166,7.7421
1,Line,,,,,,,1.0790,,,,,,,,128,-0.4070,0.5136,0.6267,56.1062,26.1097,9.4313,56.5906,25.4985,8.6856
1,Line,,,,,,,0.5029,,,,,,,,90,-0.0001,-0.1304,0.4020,56.5905,25.3433,9.1640,56.5906,25.4985,8.6856
1,Line,,,,,,,0.9452,,,,,,,,122,-0.4069,0.6440,0.2247,56.1062,26.1097,9.4313,56.5905,25.3433,9.1640
1,Line,,,,,,,0.9452,,,,,,,,122,0.4069,-0.6531,-0.1968,56.5906,25.4985,8.6856,56.1064,26.2757,8.9198
1,Line,,,,,,,0.0735,,,,,,,,121,-0.0201,0.0336,0.0478,56.0823,26.1496,9.4882,56.1062,26.1097,9.4313
1,Line,,,,,,,0.0736,,,,,,,,110,0.0201,-0.0553,0.0189,56.1064,26.2757,8.9198,56.0825,26.3416,8.8973
1,Line,,,,,,,0.5378,,,,,,,,90,-0.0001,-0.1395,0.4298,56.1062,26.1097,9.4313,56.1064,26.2757,8.9198
1,Line,,,,,,,0.9129,,,,,,,,107,0.2115,-0.7043,-0.2186,56.8423,24.6604,8.4255,56.5906,25.4985,8.6856
1,Line,,,,,,,1.4168,,,,,,,,96,-0.0931,0.9482,0.7139,56.8423,24.5121,8.8817,56.9531,23.3838,8.0322
1,Line,,,,,,,0.4389,,,,,,,,90,0.0000,-0.1141,0.3507,56.9531,23.2480,8.4495,56.9531,23.3838,8.0322
1,Line,,,,,,,1.3406,,,,,,,,95,-0.0931,1.0623,0.3632,56.8423,24.5121,8.8817,56.9531,23.2480,8.4495
1,Line,,,,,,,1.3405,,,,,,,,95,0.0931,-1.0728,-0.3305,56.9531,23.3838,8.0322,56.8423,24.6604,8.4255
1,Line,,,,,,,1.0369,,,,,,,,110,-0.2116,0.5738,0.6206,56.5905,25.3433,9.1640,56.8423,24.6604,8.4255
1,Line,,,,,,,0.4797,,,,,,,,90,0.0000,-0.1246,0.3834,56.8423,24.5121,8.8817,56.8423,24.6604,8.4255
1,Line,,,,,,,0.9132,,,,,,,,107,-0.2116,0.6985,0.2372,56.5905,25.3433,9.1640,56.8423,24.5121,8.8817
1,Line,,,,,,,0.8649,,,,,,,,107,0.2023,-0.6823,-0.1475,56.9547,28.9223,15.4386,56.7140,29.7342,15.6141
1,Line,,,,,,,0.9129,,,,,,,,116,-0.2115,0.4412,-0.5908,56.5907,26.8243,12.7664,56.8424,26.2992,13.4695
1,Line,,,,,,,1.3406,,,,,,,,98,0.0931,-0.6459,0.9183,56.9532,25.1424,14.2803,56.8424,25.9110,13.1875
1,Line,,,,,,,1.4170,,,,,,,,95,-0.0931,0.9721,-0.6813,56.8424,26.2992,13.4695,56.9532,25.1424,14.2803
1,Line,,,,,,,0.4798,,,,,,,,90,0.0000,0.3262,0.2370,56.8424,26.2992,13.4695,56.8424,25.9110,13.1875
1,Line,,,,,,,0.9456,,,,,,,,135,-0.4071,0.4129,-0.5433,56.1062,27.3156,12.1199,56.5907,26.8243,12.7664
1,Line,,,,,,,0.9130,,,,,,,,116,0.2116,-0.4256,0.6023,56.8424,25.9110,13.1875,56.5906,26.4175,12.4708
1,Line,,,,,,,1.0367,,,,,,,,105,-0.2115,0.7674,-0.3539,56.5907,26.8243,12.7664,56.8424,25.9110,13.1875
1,Line,,,,,,,0.4388,,,,,,,,90,-0.0002,0.2985,0.2164,56.9530,25.4976,14.5378,56.9532,25.1424,14.2803
1,Line,,,,,,,0.4711,,,,,,,,90,0.0000,0.3202,0.2328,56.7152,25.3587,14.7566,56.7152,24.9776,14.4796
1,Line,,,,,,,0.8570,,,,,,,,150,-0.5704,0.3293,0.2914,56.0364,25.3694,14.8264,56.7152,24.9776,14.4796
1,Line,,,,,,,0.6824,,,,,,,,179,0.5704,-0.0091,-0.0587,56.7152,25.3587,14.7566,56.0364,25.3694,14.8264
1,Line,,,,,,,0.3515,,,,,,,,35,-0.2000,-0.1385,0.1675,56.7152,24.9776,14.4796,56.9532,25.1424,14.2803
