Count,Name,Area,Center X,Center Y,Center Z,Circumference,Diameter,Radius,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z
1,Line,,,,,,,,,,,,,,163,-0.0336,0.0100,0.0019,5.0907,0.0176,0.4041,0.0351,5.1243,0.0076,0.4022
1,Line,,,,,,,,,,,,,,163,-0.0329,0.0100,-0.0069,5.0854,0.0176,0.4750,0.0351,5.1183,0.0076,0.4818
1,Line,,,,,,,,,,,,,,162,-0.0300,0.0100,-0.0152,5.0619,0.0176,0.5420,0.0351,5.0920,0.0076,0.5572
1,Line,,,,,,,,,,,,,,156,-0.0224,0.0100,0.0251,5.0004,0.0176,0.2164,0.0351,5.0228,0.0076,0.1914
1,Line,,,,,,,,,,,,,,160,-0.0282,0.0100,0.0184,5.0467,0.0176,0.2703,0.0351,5.0749,0.0076,0.2519
1,Line,,,,,,,,,,,,,,163,-0.0320,0.0100,0.0105,5.0775,0.0176,0.3343,0.0351,5.1095,0.0076,0.3238
1,Line,,,,,,,,,,,,,,28,0.0184,0.0100,0.0282,4.6699,0.0176,0.1916,0.0351,4.6515,0.0076,0.1635
1,Line,,,,,,,,,,,,,,15,-0.0383,-0.0100,-0.0080,5.1711,0.0076,0.4929,0.0404,5.2095,0.0176,0.5009
1,Line,,,,,,,,,,,,,,16,-0.0350,-0.0100,-0.0177,5.1401,0.0076,0.5815,0.0404,5.1751,0.0176,0.5992
1,Line,,,,,,,,,,,,,,19,-0.0292,-0.0100,-0.0261,5.0872,0.0076,0.6591,0.0404,5.1164,0.0176,0.6852
1,Line,,,,,,,,,,,,,,17,-0.0328,-0.0100,0.0215,5.1200,0.0076,0.2223,0.0404,5.1527,0.0176,0.2009
1,Line,,,,,,,,,,,,,,15,-0.0372,-0.0100,0.0122,5.1607,0.0076,0.3070,0.0404,5.1979,0.0176,0.2947
1,Line,,,,,,,,,,,,,,14,-0.0391,-0.0100,0.0022,5.1781,0.0076,0.3992,0.0404,5.2173,0.0176,0.3970
1,Line,,,,,,,,,,,,,,25,-0.0215,-0.0100,-0.0328,5.0160,0.0076,0.7203,0.0404,5.0374,0.0176,0.7531
1,Line,,,,,,,,,,,,,,150,0.0177,-0.0100,-0.0350,4.6568,0.0076,0.7404,0.0404,4.6392,0.0176,0.7754
1,Line,,,,,,,,,,,,,,159,0.0261,-0.0100,-0.0292,4.5792,0.0076,0.6875,0.0404,4.5531,0.0176,0.7167
1,Circle,0.5084,4.8190,0.2926,0.4193,2.5275,0.8045,0.4023,,,,,,,,,,,,,,,,,
1,Line,,,,,,,,,,,,,,39,-0.0122,-0.0100,-0.0372,4.9314,0.0076,0.7611,0.0404,4.9436,0.0176,0.7983
1,Line,,,,,,,,,,,,,,78,-0.0022,-0.0100,-0.0391,4.8391,0.0076,0.7785,0.0404,4.8413,0.0176,0.8176
1,Line,,,,,,,,,,,,,,129,0.0080,-0.0100,-0.0383,4.7455,0.0076,0.7715,0.0404,4.7375,0.0176,0.8098
1,Line,,,,,,,,,,,,,,166,0.0391,-0.0100,-0.0022,4.4598,0.0076,0.4395,0.0404,4.4207,0.0176,0.4416
1,Line,,,,,,,,,,,,,,165,0.0383,-0.0100,0.0080,4.4669,0.0076,0.3458,0.0404,4.4285,0.0176,0.3378
1,Line,,,,,,,,,,,,,,164,0.0350,-0.0100,0.0177,4.4979,0.0076,0.2572,0.0404,4.4629,0.0176,0.2395
1,Line,,,,,,,,,,,,,,44,0.0105,0.0100,0.0320,4.7340,0.0176,0.1608,0.0351,4.7234,0.0076,0.1288
1,Line,,,,,,,,,,,,,,165,0.0372,-0.0100,-0.0122,4.4773,0.0076,0.5317,0.0404,4.4401,0.0176,0.5440
1,Line,,,,,,,,,,,,,,163,-0.0328,0.0100,0.0215,4.4852,0.0176,0.6378,0.0404,4.5180,0.0076,0.6163
1,Line,,,,,,,,,,,,,,161,0.0292,-0.0100,0.0261,4.5508,0.0076,0.1796,0.0404,4.5216,0.0176,0.1535
1,Line,,,,,,,,,,,,,,51,-0.0080,-0.0100,0.0383,4.8925,0.0076,0.0672,0.0404,4.9005,0.0176,0.0289
1,Line,,,,,,,,,,,,,,30,-0.0177,-0.0100,0.0350,4.9811,0.0076,0.0982,0.0404,4.9988,0.0176,0.0633
1,Line,,,,,,,,,,,,,,21,-0.0261,-0.0100,0.0292,5.0587,0.0076,0.1512,0.0404,5.0848,0.0176,0.1220
1,Line,,,,,,,,,,,,,,155,0.0215,-0.0100,0.0328,4.6220,0.0076,0.1184,0.0404,4.6005,0.0176,0.0856
1,Line,,,,,,,,,,,,,,141,0.0122,-0.0100,0.0372,4.7066,0.0076,0.0776,0.0404,4.6944,0.0176,0.0404
