Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z,Position X1,Position Y1,Position Z1
1,Line,0.1545,,,,,,,,,,,,,,,,175,-12.4147,1.0715,0.6906,1.4025,4.7812,0.7841,1.5562,4.7679,0.7755,,,
1,Line,0.0848,,,,,,,,,,,,,,,,144,0.9739,-0.7588,-6.7383,1.7960,4.4075,0.8177,1.7840,4.4169,0.9011,,,
1,Line,0.0570,,,,,,,,,,,,,,,,111,1.6180,-4.3103,0.0000,1.7271,4.5243,0.9925,1.7071,4.5776,0.9925,,,
1,Line,0.1520,,,,,,,,,,,,,,,,118,4.5915,-8.6694,-7.3804,1.7840,4.4169,0.9011,1.7271,4.5243,0.9925,,,
1,Line,0.0527,,,,,,,,,,,,,,,,151,-3.7354,2.0390,0.0000,1.6025,4.7427,0.7755,1.6487,4.7175,0.7755,,,
1,Line,0.0527,,,,,,,,,,,,,,,,151,-3.7354,2.0390,0.0000,1.6025,4.7085,0.9011,1.6487,4.6833,0.9011,,,
1,Line,0.1545,,,,,,,,,,,,,,,,174,12.4147,-1.2596,0.0000,1.5562,4.7337,0.9011,1.4025,4.7493,0.9011,,,
1,Line,0.0374,,,,,,,,,,,,,,,,0,-2.8158,-0.0117,1.0915,1.3677,4.7811,0.7976,1.4025,4.7812,0.7841,,,
1,Line,0.1137,,,,,,,,,,,,,,,,137,2.8158,-2.5628,8.3591,1.4025,4.7493,0.9011,1.3677,4.7811,0.7976,,,
1,Line,0.2542,,,,,,,,,,,,,,,,179,19.5159,-0.4579,-6.3610,1.3687,4.7876,0.7343,1.1271,4.7933,0.8130,,,
1,Line,0.0451,,,,,,,,,,,,,,,,68,-1.3014,-3.2437,-1.0168,1.3786,0.2374,0.8054,1.3947,0.2775,0.8180,,,
1,Line,0.1537,,,,,,,,,,,,,,,,3,10.8933,0.5105,-5.9310,1.3349,4.7831,0.8277,1.2000,4.7768,0.9011,,,
1,Line,0.2379,,,,,,,,,,,,,,,,7,18.3815,2.1873,-5.1600,1.1330,4.8039,0.8372,0.9054,4.7768,0.9011,,,
1,Line,0.0965,,,,,,,,,,,,,,,,158,-5.4169,2.1873,-5.1600,1.1330,4.8039,0.8372,1.2000,4.7768,0.9011,,,
1,Line,0.0636,,,,,,,,,,,,,,,,179,5.1328,-0.0876,0.0000,1.5751,0.3009,0.8286,1.5115,0.3020,0.8286,,,
1,Line,0.0556,,,,,,,,,,,,,,,,173,-3.3437,0.4589,2.9648,1.6951,0.2961,0.7568,1.7365,0.2904,0.7201,,,
1,Line,0.0443,,,,,,,,,,,,,,,,90,0.0000,2.2324,-2.7961,1.5751,0.3285,0.7940,1.5751,0.3009,0.8286,,,
1,Line,0.0803,,,,,,,,,,,,,,,,53,-3.1470,-4.2568,-3.7543,1.6403,0.3296,0.7821,1.6793,0.3823,0.8286,,,
1,Line,0.0834,,,,,,,,,,,,,,,,39,-5.2685,-4.1947,0.0000,1.5751,0.3009,0.8286,1.6403,0.3528,0.8286,,,
1,Line,0.1777,,,,,,,,,,,,,,,,179,14.2537,-0.2544,1.6419,1.1271,4.7933,0.8130,0.9506,4.7964,0.7927,,,
1,Line,0.0558,,,,,,,,,,,,,,,,90,0.0000,1.1852,-4.3508,0.9054,4.8130,0.7961,0.9054,4.7983,0.8499,,,
1,Line,0.0732,,,,,,,,,,,,,,,,8,5.2185,0.7286,-2.6747,0.9700,4.8074,0.8168,0.9054,4.7983,0.8499,,,
1,Line,0.2043,,,,,,,,,,,,,,,,172,-16.3103,2.4055,-0.7194,1.1330,4.8129,0.8188,1.3349,4.7831,0.8277,,,
1,Line,0.0205,,,,,,,,,,,,,,,,90,0.0000,0.7286,-1.4905,1.1330,4.8129,0.8188,1.1330,4.8039,0.8372,,,
