Count,Name,Length,Area,Center X,Center Y,Center Z,Circumference,Diameter,Radius,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.4871,,,,,,,,,,,,,,90,0.0000,-0.6430,-3.6583,3.8666,6.6649,0.9483,3.8666,6.7492,1.4280
1,Line,0.7666,,,,,,,,,,,,,,90,0.0000,0.8237,5.7874,3.6937,6.9806,1.5038,3.6937,6.8726,0.7449
1,Line,0.0606,,,,,,,,,,,,,,18,-0.4380,-0.1429,0.0394,3.6363,6.7882,0.6251,3.6937,6.8069,0.6199
1,Line,0.0683,,,,,,,,,,,,,,153,0.4380,-0.2193,0.1760,3.6937,6.7945,1.5885,3.6363,6.8233,1.5655
1,Line,0.0609,,,,,,,,,,,,,,19,-0.4380,-0.1515,0.0322,3.6363,6.8142,0.6471,3.6937,6.8341,0.6428
1,Line,0.0341,,,,,,,,,,,,,,90,0.0000,0.1989,0.1677,3.6363,6.8142,0.6471,3.6363,6.7882,0.6251
1,Line,0.0365,,,,,,,,,,,,,,90,0.0000,-0.1592,-0.2280,3.6937,5.4900,0.6428,3.6937,5.5109,0.6727
1,Line,0.0609,,,,,,,,,,,,,,19,-0.4380,-0.1515,0.0322,3.6363,5.4701,0.6471,3.6937,5.4900,0.6428
1,Line,0.0653,,,,,,,,,,,,,,152,-0.4380,0.2366,0.0118,3.6363,4.6673,0.7091,3.6937,4.6363,0.7076
1,3D Polyline,0.1784,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0.0679,,,,,,,,,,,,,,158,0.4380,-0.1726,0.2150,3.6937,5.4730,1.6076,3.6363,5.4956,1.5794
1,Line,0.0715,,,,,,,,,,,,,,174,0.4380,-0.0471,0.3211,3.6937,5.4730,1.6076,3.6363,5.4792,1.5655
1,Line,0.0350,,,,,,,,,,,,,,90,0.0000,0.1526,0.2186,3.6363,5.4902,0.6757,3.6363,5.4701,0.6471
1,Line,0.0611,,,,,,,,,,,,,,20,-0.4380,-0.1581,0.0227,3.6363,5.4902,0.6757,3.6937,5.5109,0.6727
1,Line,0.0643,,,,,,,,,,,,,,154,-0.4380,0.2173,0.0394,3.6363,4.7260,0.6251,3.6937,4.6975,0.6199
1,Line,0.0643,,,,,,,,,,,,,,7,0.4380,0.0520,0.2141,3.6937,5.5820,1.6076,3.6363,5.5752,1.5795
1,Line,0.0622,,,,,,,,,,,,,,17,0.4380,0.1339,0.1234,3.6937,5.6219,1.5637,3.6363,5.6043,1.5475
1,Line,0.0649,,,,,,,,,,,,,,28,-0.4380,-0.2305,0.0145,3.6363,5.5917,1.5656,3.6937,5.6219,1.5637
1,Line,0.0673,,,,,,,,,,,,,,165,0.4380,-0.1184,0.2394,3.6937,5.4993,1.6195,3.6363,5.5148,1.5881
1,Line,0.0651,,,,,,,,,,,,,,152,-0.4380,0.2325,0.0227,3.6363,4.6799,0.6757,3.6937,4.6494,0.6727
1,Line,0.0652,,,,,,,,,,,,,,27,0.4380,0.2242,0.0689,3.6937,5.6046,1.5885,3.6363,5.5752,1.5795
1,Line,0.0648,,,,,,,,,,,,,,153,-0.4380,0.2259,0.0322,3.6363,4.6999,0.6471,3.6937,4.6703,0.6428
1,Line,0.0736,,,,,,,,,,,,,,142,0.4380,-0.3382,-0.0954,3.6937,5.4222,1.5348,3.6363,5.4665,1.5473
1,Line,0.0606,,,,,,,,,,,,,,18,-0.4380,-0.1429,0.0394,3.6363,5.4441,0.6251,3.6937,5.4628,0.6199
1,Line,0.0334,,,,,,,,,,,,,,90,0.0000,0.2316,0.1054,3.6363,5.4441,0.6251,3.6363,5.4137,0.6112
1,Line,0.0600,,,,,,,,,,,,,,16,-0.4380,-0.1249,0.0451,3.6363,5.3807,0.6065,3.6937,5.3971,0.6006
1,Line,0.0333,,,,,,,,,,,,,,90,0.0000,0.2513,0.0363,3.6363,5.4137,0.6112,3.6363,5.3807,0.6065
1,Line,0.5915,,,,,,,,,,,,,,90,0.0000,4.5105,0.0000,3.6363,5.3807,0.6065,3.6363,4.7893,0.6065
1,Line,0.0616,,,,,,,,,,,,,,20,0.4380,0.1562,0.0638,3.6937,5.6328,1.5348,3.6363,5.6123,1.5265
1,Line,0.0660,,,,,,,,,,,,,,24,0.4380,0.1984,0.1477,3.6937,5.5820,1.6076,3.6363,5.5560,1.5882
1,Line,0.6340,,,,,,,,,,,,,,90,0.0000,-4.8347,0.0000,3.6937,4.7631,0.6006,3.6937,5.3971,0.6006
1,Line,0.0638,,,,,,,,,,,,,,155,0.4380,-0.2073,0.0439,3.6937,4.7291,0.8844,3.6363,4.7563,0.8786
1,Line,0.0634,,,,,,,,,,,,,,156,0.4380,-0.1993,0.0451,3.6937,4.7631,0.8893,3.6363,4.7893,0.8834
1,Line,0.0683,,,,,,,,,,,,,,153,0.4380,-0.2193,0.1760,3.6937,5.4504,1.5885,3.6363,5.4792,1.5655
1,Line,0.0737,,,,,,,,,,,,,,141,0.4380,-0.3514,-0.0132,3.6937,5.4331,1.5637,3.6363,5.4792,1.5655
1,Line,0.0672,,,,,,,,,,,,,,19,0.4380,0.1550,0.2165,3.6937,5.5557,1.6195,3.6363,5.5354,1.5912
1,Line,0.0603,,,,,,,,,,,,,,17,-0.4380,-0.1329,0.0439,3.6363,5.4137,0.6112,3.6937,5.4311,0.6055
1,Line,0.0643,,,,,,,,,,,,,,154,0.4380,-0.2173,0.0394,3.6937,4.6975,0.8699,3.6363,4.7260,0.8648
1,Line,0.0654,,,,,,,,,,,,,,180,0.4380,-0.0021,0.2390,3.6937,5.5557,1.6195,3.6363,5.5560,1.5882
1,Line,0.0735,,,,,,,,,,,,,,155,0.4380,-0.2039,0.2849,3.6937,5.9804,0.7823,3.6363,6.0071,0.7449
1,Line,0.0653,,,,,,,,,,,,,,152,-0.4380,0.2366,-0.0118,3.6363,6.0114,0.7807,3.6937,5.9804,0.7823
