Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.1700,,,,,,,,,,,,,,,,0,0.1700,0.0000,0.0000,0.6053,1.1641,0.9439,0.4353,1.1641,0.9439
1,Line,0.0482,,,,,,,,,,,,,,,,0,-0.0482,0.0000,0.0000,0.2171,1.1169,1.0417,0.2653,1.1169,1.0417
1,Line,0.2712,,,,,,,,,,,,,,,,0,-0.2712,0.0000,0.0000,-0.0059,1.1425,1.0131,0.2653,1.1425,1.0131
1,Line,0.1699,,,,,,,,,,,,,,,,7,0.1646,0.0203,-0.0371,0.4299,1.1370,1.0193,0.2653,1.1167,1.0564
1,Line,0.2221,,,,,,,,,,,,,,,,0,-0.2221,0.0000,0.0000,-0.2280,1.1169,1.0417,-0.0059,1.1169,1.0417
1,Line,0.2712,,,,,,,,,,,,,,,,0,-0.2712,0.0000,0.0000,-0.2770,1.1425,1.0131,-0.0059,1.1425,1.0131
1,Line,0.1892,,,,,,,,,,,,,,,,0,-0.1892,0.0000,0.0000,-0.1951,1.0836,1.0637,-0.0059,1.0836,1.0637
1,Line,0.0282,,,,,,,,,,,,,,,,90,0.0000,-0.0265,0.0094,-0.0059,1.0570,1.0731,-0.0059,1.0836,1.0637
1,Line,0.1860,,,,,,,,,,,,,,,,0,-0.1860,0.0000,0.0000,-0.1918,1.0447,1.0775,-0.0059,1.0447,1.0775
1,Line,0.1811,,,,,,,,,,,,,,,,7,0.1754,0.0216,-0.0396,0.6053,1.1586,0.9797,0.4299,1.1370,1.0193
1,Line,0.2890,,,,,,,,,,,,,,,,11,-0.2760,-0.0521,0.0681,0.3293,1.1065,1.0478,0.6053,1.1586,0.9797
1,Line,0.0135,,,,,,,,,,,,,,,,12,0.0128,0.0028,-0.0032,0.2780,1.0864,1.0605,0.2653,1.0836,1.0637
1,Line,0.0108,,,,,,,,,,,,,,,,14,0.0101,0.0026,-0.0027,0.2754,1.0745,1.0671,0.2653,1.0719,1.0698
1,Line,0.1876,,,,,,,,,,,,,,,,0,-0.1876,0.0000,0.0000,0.2653,1.1425,1.0131,0.4529,1.1425,1.0131
1,Line,0.0342,,,,,,,,,,,,,,,,0,-0.0342,0.0000,0.0000,0.3097,1.1169,1.0417,0.3438,1.1169,1.0417
1,Line,0.5423,,,,,,,,,,,,,,,,0,-0.5423,0.0000,0.0000,0.6053,1.0447,0.8102,1.1476,1.0447,0.8102
1,Group_73,,,,,,,,,0.0000,-0.0040,0.4449,1.0000,1.0000,1.0000,,,,,,,,,,,,
1,ot_panther_se,,,,,,,,,0.0000,-0.0040,0.4449,1.0000,1.0000,1.0000,,,,,,,,,,,,
1,Line,0.0105,,,,,,,,,,,,,,,,90,0.0000,0.0018,0.0104,0.2653,1.9507,0.5994,0.2653,1.9489,0.5890
1,ot_panther_se_convertible_1,,,,,,,,,-3.8478,-0.4525,0.0199,1.0000,1.0000,1.0000,,,,,,,,,,,,
1,Car_Interior,,,,,,,,,-3.8478,-0.4525,0.0199,1.0000,1.0000,1.0000,,,,,,,,,,,,
1,ot_panther_rs,,,,,,,,,-2.2900,-0.0040,0.4449,1.0000,1.0000,1.0000,,,,,,,,,,,,
1,Line,0.3549,,,,,,,,,,,,,,,,163,-0.3400,0.1017,0.0000,0.2653,1.7454,0.6128,0.6053,1.6436,0.6128
1,Group_5,,,,,,,,,-2.2900,0.0000,0.4449,1.0000,1.0000,1.0000,,,,,,,,,,,,
1,Line,0.1333,,,,,,,,,,,,,,,,15,-0.1287,-0.0345,0.0000,0.3981,1.4723,0.6824,0.5269,1.5068,0.6824
1,car_seat,,,,,,,,,1.2068,-0.2873,0.1757,0.2016,0.2024,0.2061,,,,,,,,,,,,
1,car_seat,,,,,,,,,0.3245,-0.2073,0.1757,0.2016,0.2024,0.2061,,,,,,,,,,,,
1,ot_panther_se_convertible,,,,,,,,,-3.8478,-0.4525,0.0199,1.0000,1.0000,1.0000,,,,,,,,,,,,
1,Line,0.0173,,,,,,,,,,,,,,,,180,-0.0173,0.0000,0.0000,1.1303,1.1425,1.0131,1.1476,1.1425,1.0131
1,Line,0.0428,,,,,,,,,,,,,,,,0,-0.0428,0.0000,0.0000,1.1048,1.1169,1.0417,1.1476,1.1169,1.0417
1,Line,0.5423,,,,,,,,,,,,,,,,0,-0.5423,0.0000,0.0000,0.6053,1.1425,0.8747,1.1476,1.1425,0.8747
1,Line,0.5423,,,,,,,,,,,,,,,,0,-0.5423,0.0000,0.0000,0.6053,1.0836,0.8240,1.1476,1.0836,0.8240
