Count,Name,Area,Center X,Center Y,Center Z,Circumference,Diameter,Radius,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z
1,Line,,,,,,,,,,,,,,90,-0.1631,27.4289,2.2828,-106.6473,6319.9567,2191.9075,27.5243,-106.4842,6292.5278,2189.6247
1,Line,,,,,,,,,,,,,,91,-0.3326,37.9200,3.4707,-121.0279,6324.1055,2149.1467,38.0800,-120.6953,6286.1855,2145.6760
1,Line,,,,,,,,,,,,,,90,-0.1358,22.8349,1.9005,-106.4842,6292.5278,2189.6247,22.9142,-106.3484,6269.6929,2187.7242
1,Line,,,,,,,,,,,,,,90,0.2519,45.5273,3.2174,-215.3343,6406.9190,2067.7112,45.6416,-215.5862,6361.3916,2064.4938
1,Line,,,,,,,,,,,,,,90,0.1593,45.9810,4.8443,-217.0507,6507.4875,2112.9300,46.2358,-217.2100,6461.5065,2108.0856
1,Line,,,,,,,,,,,,,,90,-0.1455,89.6458,9.0256,-194.0851,6381.8224,1976.2413,90.0991,-193.9396,6292.1766,1967.2157
1,Line,,,,,,,,,,,,,,91,-0.3403,38.8011,3.5513,-121.3683,6362.9066,2152.6980,38.9648,-121.0279,6324.1055,2149.1467
1,Line,,,,,,,,,,,,,,91,-0.7833,38.8107,3.4907,-132.2626,6363.1419,2151.2076,38.9752,-131.4793,6324.3312,2147.7169
1,Line,,,,,,,,,,,,,,90,-0.1025,63.1362,6.3566,-194.2390,6476.6253,1985.7861,63.4555,-194.1365,6413.4891,1979.4295
1,Line,,,,,,,,,,,,,,90,-0.2309,38.8302,3.2317,-106.8782,6358.7869,2195.1392,38.9651,-106.6473,6319.9567,2191.9075
1,Line,,,,,,,,,,,,,,90,0.1579,45.5745,4.8015,-216.8928,6553.0620,2117.7315,45.8270,-217.0507,6507.4875,2112.9300
1,Line,,,,,,,,,,,,,,90,-0.0514,31.6667,3.1882,-194.1365,6413.4891,1979.4295,31.8268,-194.0851,6381.8224,1976.2413
1,Line,,,,,,,,,,,,,,270,0.0504,-26.7038,-2.4198,-102.8014,6241.6922,2191.5509,26.8132,-102.8518,6268.3960,2193.9707
1,Line,,,,,,,,,,,,,,90,0.2829,51.1370,3.6139,-214.4302,6570.3407,2079.2603,51.2654,-214.7131,6519.2037,2075.6464
1,Line,,,,,,,,,,,,,,90,0.0873,53.8028,5.4169,195.5388,7277.3894,2066.4071,54.0749,195.4515,7223.5866,2060.9902
1,Line,,,,,,,,,,,,,,90,0.0521,32.0932,3.2311,195.4515,7223.5866,2060.9902,32.2555,195.3994,7191.4934,2057.7591
1,Line,,,,,,,,,,,,,,90,0.0931,57.3552,5.7745,195.6796,7364.0927,2075.1364,57.6453,195.5865,7306.7374,2069.3618
1,Line,,,,,,,,,,,,,,90,0.0476,29.3481,2.9548,195.5865,7306.7374,2069.3618,29.4965,195.5388,7277.3894,2066.4071
1,Line,,,,,,,,,,,,,,270,0.0588,-42.1441,-3.9528,219.2931,6529.4794,2102.2888,42.3291,219.2343,6571.6235,2106.2416
1,Line,,,,,,,,,,,,,,90,0.0730,44.9538,4.5260,195.3041,7132.7865,2051.8484,45.1811,195.2311,7087.8328,2047.3225
1,Line,,,,,,,,,,,,,,270,0.0895,-64.1182,-6.0139,219.7388,6210.1117,2072.3341,64.3997,219.6493,6274.2299,2078.3480
1,Line,,,,,,,,,,,,,,90,0.0953,58.7069,5.9106,195.3994,7191.4934,2057.7591,59.0037,195.3041,7132.7865,2051.8484
1,Line,,,,,,,,,,,,,,90,-0.1801,52.0026,5.4788,215.2322,7032.4429,2168.2369,52.2907,215.4123,6980.4403,2162.7581
1,Line,,,,,,,,,,,,,,90,-0.1673,48.2987,5.0885,216.0059,6809.0881,2144.7052,48.5663,216.1732,6760.7893,2139.6167
1,Line,,,,,,,,,,,,,,90,-0.0851,24.5795,2.5896,214.4830,7248.7257,2191.0234,24.7157,214.5681,7224.1463,2188.4338
1,Line,,,,,,,,,,,,,,90,-0.7310,211.0052,22.2305,217.1301,6484.5747,2110.5160,212.1742,217.8611,6273.5695,2088.2855
1,Line,,,,,,,,,,,,,,90,-0.1586,45.7870,4.8239,215.0736,7078.2300,2173.0608,46.0407,215.2322,7032.4429,2168.2369
1,Line,,,,,,,,,,,,,,90,-0.1641,29.6638,2.0963,211.9419,7020.0890,2111.0440,29.7382,212.1060,6990.4252,2108.9476
1,Line,,,,,,,,,,,,,,270,0.0714,-51.1699,-4.7994,218.4553,7129.8642,2158.6010,51.3946,218.3839,7181.0341,2163.4004
1,Line,,,,,,,,,,,,,,90,-0.2837,51.2804,3.6240,211.0303,7184.8616,2122.6885,51.4091,211.3140,7133.5812,2119.0645
1,Line,,,,,,,,,,,,,,270,0.0660,-47.2662,-4.4333,219.2343,6571.6235,2106.2416,47.4737,219.1683,6618.8897,2110.6749
1,Line,,,,,,,,,,,,,,89,0.3403,38.7968,3.5509,129.1377,7248.7159,2233.7729,38.9604,128.7975,7209.9191,2230.2219
1,Line,,,,,,,,,,,,,,89,0.7617,37.7400,3.3944,150.9037,7286.7335,2234.2775,37.9000,150.1420,7248.9935,2230.8831
1,Line,,,,,,,,,,,,,,270,0.0656,-47.0089,-4.4091,218.8471,6849.0939,2132.2666,47.2153,218.7815,6896.1028,2136.6757
1,Line,,,,,,,,,,,,,,90,0.0717,44.1722,4.4473,194.5620,6675.5895,2005.8178,44.3956,194.4903,6631.4173,2001.3705
1,Line,,,,,,,,,,,,,,90,0.2076,34.9215,2.9064,111.9188,7206.5776,2265.6973,35.0428,111.7111,7171.6561,2262.7910
1,Line,,,,,,,,,,,,,,90,0.0233,3.9252,0.3267,112.3189,7273.8743,2271.2982,3.9388,112.2955,7269.9491,2270.9715
1,Line,,,,,,,,,,,,,,270,0.0591,-42.3656,-3.9736,218.7815,6896.1028,2136.6757,42.5516,218.7224,6938.4685,2140.6493
1,Line,,,,,,,,,,,,,,269,-16.1149,-678.2625,-59.7840,137.7111,6448.8242,2157.0424,681.0828,153.8260,7127.0867,2216.8264
1,Line,,,,,,,,,,,,,,90,0.0791,48.7544,4.9086,194.8045,6824.9978,2020.8602,49.0009,194.7253,6776.2434,2015.9516
1,Line,,,,,,,,,,,,,,270,0.0728,-52.1701,-4.8932,219.0363,6713.5049,2119.5492,52.3991,218.9635,6765.6750,2124.4424
1,Line,,,,,,,,,,,,,,90,0.0296,18.2436,1.8368,194.9811,6933.7987,2031.8143,18.3359,194.9515,6915.5551,2029.9776
1,Line,,,,,,,,,,,,,,90,0.0810,49.9053,5.0245,195.2311,7087.8328,2047.3225,50.1577,195.1501,7037.9274,2042.2980
1,Line,,,,,,,,,,,,,,270,0.0653,-46.7833,-4.3880,218.9635,6765.6750,2124.4424,46.9887,218.8982,6812.4583,2128.8304
1,Line,,,,,,,,,,,,,,90,0.0792,48.7765,4.9108,194.6411,6724.3660,2010.7286,49.0231,194.5620,6675.5895,2005.8178
1,Line,,,,,,,,,,,,,,90,0.0842,51.8774,5.2230,194.7253,6776.2434,2015.9516,52.1397,194.6411,6724.3660,2010.7286
1,Line,,,,,,,,,,,,,,270,0.0511,-36.6356,-3.4362,218.8982,6812.4583,2128.8304,36.7964,218.8471,6849.0939,2132.2666
1,Line,,,,,,,,,,,,,,269,-0.5818,-54.9708,-6.2161,176.3255,7234.4629,2035.5957,55.3242,176.9073,7289.4337,2041.8118
1,Line,,,,,,,,,,,,,,269,-0.6403,-60.4929,-6.8406,174.5098,7062.9223,2016.1978,60.8818,175.1501,7123.4152,2023.0384
1,Line,,,,,,,,,,,,,,270,0.2390,-59.6839,-5.1445,208.1192,7077.2376,2079.4745,59.9057,207.8802,7136.9215,2084.6190
