Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z
1,Line,0.0220,,,,,,,,,,180,-0.0220,0.0000,0.0000,-1.0402,7.8428,0.4389,-1.0182,7.8428,0.4389,,,,,,
1,Line,0.0330,,,,,,,,,,180,-0.0330,0.0000,0.0000,-1.0182,7.8902,0.3681,-0.9852,7.8902,0.3681,,,,,,
1,Circle,,0.0034,-1.0402,7.8513,0.4070,0.0330,,,0.2073,0.0660,,,,,,,,,,,,,,,,
1,Line,0.0330,,,,,,,,,,180,-0.0330,0.0000,0.0000,-1.0182,7.8124,0.3681,-0.9852,7.8124,0.3681,,,,,,
1,Line,0.0330,,,,,,,,,,180,-0.0330,0.0000,0.0000,-1.0182,7.8238,0.4546,-0.9852,7.8238,0.4546,,,,,,
1,Line,0.0330,,,,,,,,,,180,-0.0330,0.0000,0.0000,-1.0182,7.8124,0.4459,-0.9852,7.8124,0.4459,,,,,,
1,Line,0.0330,,,,,,,,,,180,-0.0330,0.0000,0.0000,-1.0182,7.8513,0.4620,-0.9852,7.8513,0.4620,,,,,,
1,Line,0.0330,,,,,,,,,,180,-0.0330,0.0000,0.0000,-1.0182,7.8371,0.4601,-0.9852,7.8371,0.4601,,,,,,
1,Line,0.0330,,,,,,,,,,180,-0.0330,0.0000,0.0000,-1.0182,7.8037,0.4345,-0.9852,7.8037,0.4345,,,,,,
1,Line,0.0330,,,,,,,,,,180,-0.0330,0.0000,0.0000,-1.0182,7.7982,0.3928,-0.9852,7.7982,0.3928,,,,,,
1,Line,0.0330,,,,,,,,,,180,-0.0330,0.0000,0.0000,-1.0182,7.8037,0.3795,-0.9852,7.8037,0.3795,,,,,,
1,Line,0.0330,,,,,,,,,,180,-0.0330,0.0000,0.0000,-1.0182,7.7982,0.4212,-0.9852,7.7982,0.4212,,,,,,
1,Line,0.0330,,,,,,,,,,180,-0.0330,0.0000,0.0000,-1.0182,7.7963,0.4070,-0.9852,7.7963,0.4070,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.7186,0.2747,-0.9852,7.7186,0.2747,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.7201,0.2633,-0.9852,7.7201,0.2633,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.7245,0.2967,-0.9852,7.7245,0.2967,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.7201,0.2861,-0.9852,7.7201,0.2861,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.7245,0.2527,-0.9852,7.7245,0.2527,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.7882,0.3101,-0.9852,7.7882,0.3101,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.7846,0.3128,-0.9852,7.7846,0.3128,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.7315,0.2436,-0.9852,7.7315,0.2436,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.7937,0.3058,-0.9852,7.7937,0.3058,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.7272,0.3003,-0.9852,7.7272,0.3003,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.8064,0.2759,-0.9852,7.8064,0.2759,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.8051,0.2861,-0.9852,7.8051,0.2861,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.8051,0.2633,-0.9852,7.8051,0.2633,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.8066,0.2747,-0.9852,7.8066,0.2747,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.8007,0.2967,-0.9852,7.8007,0.2967,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.7406,0.3128,-0.9852,7.7406,0.3128,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.7315,0.3058,-0.9852,7.7315,0.3058,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.7512,0.3172,-0.9852,7.7512,0.3172,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.7456,0.3149,-0.9852,7.7456,0.3149,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.7740,0.3172,-0.9852,7.7740,0.3172,,,,,,
1,Line,0.6600,,,,,,,,,,0,0.6600,0.0000,0.0000,-0.4022,7.6478,0.7595,-1.0622,7.6478,0.7595,,,,,,
1,Line,0.6600,,,,,,,,,,0,0.6600,0.0000,0.0000,-0.4022,7.5635,0.6948,-1.0622,7.5635,0.6948,,,,,,
1,Line,0.6600,,,,,,,,,,0,0.6600,0.0000,0.0000,-0.4022,7.8513,0.8140,-1.0622,7.8513,0.8140,,,,,,
1,Line,0.6600,,,,,,,,,,0,0.6600,0.0000,0.0000,-0.4022,7.7460,0.8001,-1.0622,7.7460,0.8001,,,,,,
1,Line,0.6600,,,,,,,,,,0,0.6600,0.0000,0.0000,-0.4022,7.4989,0.6105,-1.0622,7.4989,0.6105,,,,,,
