Count,Name,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z
1,Line,90,0.0000,0.1989,1.8265,394.1215,-236.9340,8.9684,1.8373,394.1215,-237.1330,7.1419,,,,,,
1,Line,90,0.0000,0.6649,1.7128,392.3892,-250.1429,12.1923,1.8373,392.3892,-250.8078,10.4795,,,,,,
1,Line,90,0.0000,0.1989,1.8265,392.3892,-250.8078,10.4795,1.8373,392.3892,-251.0067,8.6530,,,,,,
1,Line,90,0.0000,-0.2806,1.8158,392.3892,-251.0067,8.6530,1.8373,392.3892,-250.7261,6.8373,,,,,,
1,Line,90,0.0000,-1.1509,1.4322,392.3892,-249.9852,5.1560,1.8373,392.3892,-248.8343,3.7238,,,,,,
1,Line,90,0.0000,1.4322,1.1509,392.3892,-247.6251,14.8255,1.8373,392.3892,-249.0573,13.6747,,,,,,
1,Line,90,0.0000,-1.4823,1.0855,392.3892,-248.8343,3.7238,1.8373,392.3892,-247.3520,2.6382,,,,,,
1,Line,0,1.1417,0.0000,0.0000,141.2081,-193.8478,15.6775,1.1417,140.0664,-193.8478,15.6775,,,,,,
1,Line,0,0.0000,0.0000,6.9076,391.4443,-273.1752,67.7593,6.9076,391.4443,-273.1752,60.8517,,,,,,
1,Line,0,0.0000,0.0000,-6.9076,325.6245,-273.1752,60.8517,6.9076,325.6245,-273.1752,67.7593,,,,,,
1,Line,0,0.0000,0.0000,6.9076,331.1343,-273.1752,67.7593,6.9076,331.1343,-273.1752,60.8517,,,,,,
1,Line,180,-1.1417,0.0000,0.0000,140.0664,-193.8478,7.6460,1.1417,141.2081,-193.8478,7.6460,,,,,,
1,Line,180,-1.1417,0.0000,0.0000,140.0664,-249.9502,7.6460,1.1417,141.2081,-249.9502,7.6460,,,,,,
1,Line,0,0.0000,0.0000,-6.9076,383.8508,-273.1752,60.8517,6.9076,383.8508,-273.1752,67.7593,,,,,,
1,Line,90,0.0000,-1.6813,-0.7410,392.3892,-241.9969,2.0549,1.8373,392.3892,-240.3157,2.7959,,,,,,
1,Line,90,0.0000,1.7128,-0.6649,392.3892,-240.5888,14.9832,1.8373,392.3892,-242.3015,15.6481,,,,,,
1,Line,90,0.0000,-1.8158,-0.2806,392.3892,-243.8127,1.7744,1.8373,392.3892,-241.9969,2.0549,,,,,,
1,Line,90,0.0000,1.1509,-1.4322,392.3892,-237.9556,12.4654,1.8373,392.3892,-239.1064,13.8976,,,,,,
1,Line,90,0.0000,-1.4322,-1.1509,392.3892,-240.3157,2.7959,1.8373,392.3892,-238.8834,3.9468,,,,,,
1,Line,90,0.0000,1.4823,-1.0855,392.3892,-239.1064,13.8976,1.8373,392.3892,-240.5888,14.9832,,,,,,
1,Line,90,0.0000,1.8265,-0.1989,392.3892,-242.3015,15.6481,1.8373,392.3892,-244.1281,15.8470,,,,,,
1,Line,90,0.0000,-1.7128,0.6649,392.3892,-247.3520,2.6382,1.8373,392.3892,-245.6392,1.9733,,,,,,
1,Line,90,0.0000,-0.7410,1.6813,392.3892,-250.7261,6.8373,1.8373,392.3892,-249.9852,5.1560,,,,,,
1,Line,90,0.0000,1.0855,1.4823,392.3892,-249.0573,13.6747,1.8373,392.3892,-250.1429,12.1923,,,,,,
1,Line,90,0.0000,1.8158,0.2806,392.3892,-244.1281,15.8470,1.8373,392.3892,-245.9438,15.5665,,,,,,
1,Line,90,0.0000,-1.8265,0.1989,392.3892,-245.6392,1.9733,1.8373,392.3892,-243.8127,1.7744,,,,,,
1,Line,90,0.0000,1.6813,0.7410,392.3892,-245.9438,15.5665,1.8373,392.3892,-247.6251,14.8255,,,,,,
1,Line,90,0.0000,-55.9055,0.0000,392.3892,-249.3305,5.4291,55.9055,392.3892,-193.4250,5.4291,,,,,,
1,Line,180,-0.9449,0.0000,0.0000,391.4443,-193.4250,12.2795,0.9449,392.3892,-193.4250,12.2795,,,,,,
1,Line,0,0.0000,0.0000,-8.0315,140.0664,-193.8478,7.6460,8.0315,140.0664,-193.8478,15.6775,,,,,,
1,Line,0,0.0000,0.0000,6.5650,141.2081,-172.1809,67.4131,6.5650,141.2081,-172.1809,60.8482,,,,,,
1,Line,0,0.0000,0.0000,6.9076,375.3572,-172.1809,67.7593,6.9076,375.3572,-172.1809,60.8517,,,,,,
1,Line,0,0.0000,0.0000,6.9076,391.4443,-172.1809,67.7593,6.9076,391.4443,-172.1809,60.8517,,,,,,
1,Line,90,0.0000,56.1024,0.0000,140.0664,-193.8478,15.6775,56.1024,140.0664,-249.9502,15.6775,,,,,,
1,Line,90,0.0000,-1.2520,1.4582,155.8144,-228.1441,66.8601,1.9219,155.8144,-226.8921,65.4019,,,,,,
1,Line,90,0.0000,0.2485,-1.3546,155.8144,-227.0003,69.2647,1.3772,155.8144,-227.2489,70.6193,,,,,,
1,Line,90,0.0000,0.5906,-1.2441,155.8144,-226.4097,68.0206,1.3772,155.8144,-227.0003,69.2647,,,,,,
1,Line,0,0.0000,0.0000,8.0315,140.0664,-249.9502,15.6775,8.0315,140.0664,-249.9502,7.6460,,,,,,
1,Line,90,0.0000,-56.1024,0.0000,140.0664,-249.9502,7.6460,56.1024,140.0664,-193.8478,7.6460,,,,,,
1,Line,0,0.0000,0.0000,6.8504,392.3892,-193.4250,12.2795,6.8504,392.3892,-193.4250,5.4291,,,,,,
1,Line,0,0.0000,0.0000,6.9076,270.5064,-273.1752,67.7593,6.9076,270.5064,-273.1752,60.8517,,,,,,
1,Line,0,0.0000,0.0000,6.4698,150.2174,-273.1752,67.3216,6.4698,150.2174,-273.1752,60.8517,,,,,,
1,Line,0,0.0000,0.0000,-6.4698,141.2081,-273.1752,60.8517,6.4698,141.2081,-273.1752,67.3216,,,,,,
1,Line,0,0.0000,0.0000,-6.9076,200.8867,-273.1752,60.8517,6.9076,200.8867,-273.1752,67.7593,,,,,,
1,Line,0,0.0000,0.0000,6.9076,210.6770,-273.1752,67.7593,6.9076,210.6770,-273.1752,60.8517,,,,,,
1,Line,0,0.0000,0.0000,-6.9076,262.2912,-273.1752,60.8517,6.9076,262.2912,-273.1752,67.7593,,,,,,
1,Line,0,0.0000,0.0000,-6.5748,201.9931,-172.1809,61.0616,6.5748,201.9931,-172.1809,67.6364,,,,,,
1,Line,0,0.0000,0.0000,-6.7224,266.0029,-172.1809,61.2233,6.7224,266.0029,-172.1809,67.9458,,,,,,
1,Line,0,0.0000,0.0000,6.7224,254.1191,-172.1809,67.9458,6.7224,254.1191,-172.1809,61.2233,,,,,,
1,Line,0,0.0000,0.0000,-6.5650,148.0698,-172.1809,60.8482,6.5650,148.0698,-172.1809,67.4131,,,,,,
1,Line,0,0.0000,0.0000,6.5748,193.8966,-172.1809,67.6364,6.5748,193.8966,-172.1809,61.0616,,,,,,
1,Line,0,0.0000,0.0000,-6.7028,324.5698,-172.1809,60.9393,6.7028,324.5698,-172.1809,67.6421,,,,,,
1,Line,0,0.0000,0.0000,6.7028,317.1053,-172.1809,67.6421,6.7028,317.1053,-172.1809,60.9393,,,,,,
1,Line,180,-1.7323,0.0000,0.0000,392.3892,-240.5888,14.9832,1.7323,394.1215,-240.5888,14.9832,,,,,,
1,Line,90,0.0000,1.7128,-0.6649,394.1215,-240.5888,14.9832,1.8373,394.1215,-242.3015,15.6481,,,,,,
1,Line,0,1.7323,0.0000,0.0000,394.1215,-241.9969,2.0549,1.7323,392.3892,-241.9969,2.0549,,,,,,
1,Line,90,0.0000,1.4823,-1.0855,394.1215,-239.1064,13.8976,1.8373,394.1215,-240.5888,14.9832,,,,,,
1,Line,0,1.7323,0.0000,0.0000,394.1215,-240.3157,2.7959,1.7323,392.3892,-240.3157,2.7959,,,,,,
1,Line,90,0.0000,1.6813,0.7410,394.1215,-240.3157,2.7959,1.8373,394.1215,-241.9969,2.0549,,,,,,
1,Line,90,0.0000,1.8158,0.2806,394.1215,-241.9969,2.0549,1.8373,394.1215,-243.8127,1.7744,,,,,,
