Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,6.2323,,,,,,,,90,0.0000,6.2323,0.0000,-1.9817,128.1321,-1.0782,-1.9817,121.8998,-1.0782
1,Arc,3.0913,1.5209,-1.9817,120.9199,-1.0782,0.9840,180,180,,,,,,,,,,
1,Line,1.0290,,,,,,,,0,0.0000,0.0000,1.0290,-7.0090,132.0352,-0.0492,-7.0090,132.0352,-1.0782
1,Line,3.0980,,,,,,,,180,-0.0024,0.0000,-3.0980,-9.0359,107.9743,1.8378,-9.0336,107.9743,4.9358
1,Line,2.9710,,,,,,,,179,-0.0010,0.0000,-2.9710,-9.0664,128.0677,1.9648,-9.0655,128.0677,4.9358
1,Line,3.0240,,,,,,,,90,0.0000,3.0240,0.0000,0.0873,116.0823,1.9988,0.0873,113.0583,1.9988
1,Line,3.0240,,,,,,,,270,0.0000,-3.0240,0.0000,0.0873,113.0583,4.9468,0.0873,116.0823,4.9468
1,Line,2.9480,,,,,,,,0,0.0000,0.0000,2.9480,0.0873,116.0823,4.9468,0.0873,116.0823,1.9988
1,Line,2.9480,,,,,,,,0,0.0000,0.0000,2.9480,0.0873,111.0123,4.9468,0.0873,111.0123,1.9988
1,Line,2.9480,,,,,,,,0,0.0000,0.0000,-2.9480,0.0873,113.0583,1.9988,0.0873,113.0583,4.9468
1,Line,0.0707,,,,,,,,0,0.0000,0.0000,0.0707,-1.9817,117.9029,-1.0782,-1.9817,117.9029,-1.1489
1,Line,5.0271,,,,,,,,180,-5.0271,0.0000,0.0000,-7.0088,132.0443,-1.0782,-1.9817,132.0443,-1.0782
1,Line,2.9480,,,,,,,,0,0.0000,0.0000,-2.9480,0.0873,107.9941,1.9988,0.0873,107.9941,4.9468
1,Line,1.4623,,,,,,,,270,0.0000,-1.0390,-1.0290,-1.9817,132.0443,-1.0782,-1.9817,133.0833,-0.0492
