Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z
1,Line,,,,,,,90,0.0002,-9.1781,0.0000,-13.8498,60.4386,9.8817,9.1781,-13.8500,69.6167,9.8817
1,Line,,,,,,,0,-1.0964,0.0000,1.2887,-13.8789,55.0935,9.8551,1.6919,-12.7826,55.0936,8.5665
1,Line,,,,,,,112,1.0964,-2.6921,-1.2887,-12.7825,52.4014,8.5665,3.1796,-13.8789,55.0935,9.8551
1,Line,,,,,,,82,-1.0650,-7.2849,1.2887,-13.8498,60.4386,9.8817,7.4742,-12.7848,67.7234,8.5930
1,Line,,,,,,,83,-1.0649,-9.2173,1.2887,-13.8498,60.4386,9.8817,9.3676,-12.7848,69.6559,8.5930
1,Line,,,,,,,2,-1.0652,-0.0392,1.2887,-13.8500,69.6167,9.8817,1.6724,-12.7848,69.6559,8.5930
1,Line,,,,,,,90,0.0000,-1.4650,0.0000,-13.8787,46.4835,9.8551,1.4650,-13.8787,47.9484,9.8551
1,Line,,,,,,,179,-1.0964,0.0097,1.2887,-13.8786,43.5215,9.8551,1.6920,-12.7822,43.5119,8.5665
1,Line,,,,,,,90,0.0000,-1.2520,0.0000,-13.8786,42.2695,9.8551,1.2520,-13.8786,43.5215,9.8551
1,Line,,,,,,,0,0.2066,0.0000,0.0198,-12.5777,83.0396,8.5945,0.2075,-12.7842,83.0396,8.5747
1,Line,,,,,,,128,-1.0964,1.3999,1.2887,-13.8786,42.2695,9.8551,2.1960,-12.7822,40.8697,8.5665
1,Line,,,,,,,0,-1.0964,0.0000,1.2887,-13.8786,42.2695,9.8551,1.6919,-12.7822,42.2696,8.5665
1,Line,,,,,,,49,-1.0963,-1.2423,1.2887,-13.8786,42.2695,9.8551,2.0990,-12.7822,43.5119,8.5665
1,Line,,,,,,,0,-1.2627,0.0000,1.3084,-14.0470,83.0395,9.8830,1.8183,-12.7842,83.0396,8.5747
1,Line,,,,,,,0,1.4693,0.0000,-1.2885,-12.5777,83.0396,8.5945,1.9543,-14.0470,83.0395,9.8830
1,Line,,,,,,,0,-0.1664,0.0000,0.0197,-14.0470,83.0395,9.8830,0.1675,-13.8806,83.0395,9.8633
1,Line,,,,,,,0,-0.2063,0.0000,-1.0373,-12.7839,83.0396,7.5572,1.0576,-12.5777,83.0396,8.5945
1,Line,,,,,,,0,0.0003,0.0000,-1.0174,-12.5774,83.0396,7.5771,1.0174,-12.5777,83.0396,8.5945
1,Line,,,,,,,0,-0.2066,0.0000,-0.0198,-12.7839,83.0396,7.5572,0.2075,-12.5774,83.0396,7.5771
1,Line,,,,,,,1,1.0964,0.0097,-1.2887,-12.7823,43.8271,8.5665,1.6920,-13.8786,43.8174,9.8551
1,Line,,,,,,,90,0.0002,-8.1692,0.0000,-13.8785,38.3143,9.8551,8.1692,-13.8787,46.4835,9.8551
