Count,Name,Length,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,5.4450,,,,,,,180,-5.4450,0.0000,0.0000,933.9252,171.7698,160.3250,939.3702,171.7698,160.3250
1,Line,5.4450,,,,,,,180,-5.4450,0.0000,0.0000,933.9252,158.1573,154.8800,939.3702,158.1573,154.8800
1,Line,10.5874,,,,,,,270,0.0000,-10.5874,0.0000,740.3262,72.2209,71.6929,740.3262,82.8083,71.6929
1,Line,1.3550,,,,,,,0,0.2644,0.0000,1.3290,177.4953,226.1068,39.7471,177.2310,226.1068,38.4181
1,Line,3.5409,,,,,,,36,2.7200,1.9672,-1.1267,177.4953,226.1068,39.7471,174.7753,224.1396,40.8737
1,Line,40.8373,,,,,,,0,40.8373,0.0000,0.0000,185.2413,92.8176,138.5451,144.4040,92.8176,138.5451
1,Line,29.9474,,,,,,,270,0.0000,-29.9474,0.0000,144.4040,62.8703,138.5451,144.4040,92.8176,138.5451
1,Line,24.9447,,,,,,,180,-24.1999,0.0000,-6.0500,132.3040,202.5977,20.2682,156.5039,202.5977,26.3181
1,Line,19.0574,,,,,,,0,19.0574,0.0000,0.0000,680.7339,121.5094,269.0801,661.6765,121.5094,269.0801
1,Line,3.5409,,,,,,,270,0.0000,-3.4728,-0.6908,274.4783,68.7480,67.9771,274.4783,72.2208,68.6679
1,Line,40.8373,,,,,,,0,0.0000,0.0000,-40.8373,144.4040,62.8703,97.7078,144.4040,62.8703,138.5451
1,Line,3.5409,,,,,,,302,1.8175,-2.9441,0.7528,332.0745,61.2664,35.9624,330.2570,64.2105,35.2096
1,Line,1.4503,,,,,,,90,0.0000,1.4225,0.2829,286.5782,72.2208,63.3101,286.5782,70.7984,63.0271
1,Line,13.2331,,,,,,,10,12.0999,2.0504,-4.9500,286.5782,70.7984,63.0271,274.4783,68.7480,67.9771
1,Line,6.0500,,,,,,,0,0.0000,0.0000,-6.0500,138.3540,202.5977,56.5680,138.3540,202.5977,62.6180
1,Line,12.0999,,,,,,,180,-12.0999,0.0000,0.0000,138.3540,202.5977,62.6180,150.4539,202.5977,62.6180
1,Line,5.4450,,,,,,,180,-5.4450,0.0000,0.0000,933.9252,155.4348,160.3250,939.3702,155.4348,160.3250
1,Line,3.5409,,,,,,,259,-0.6908,-3.4728,0.0000,328.9280,217.7227,38.4181,329.6188,221.1955,38.4181
1,Line,6.7641,,,,,,,180,-6.0500,0.0000,-3.0250,150.4539,202.5977,62.6180,156.5039,202.5977,65.6429
1,Line,15.1249,,,,,,,180,-15.1249,0.0000,0.0000,362.2029,202.5977,26.3181,377.3278,202.5977,26.3181
1,Line,72.5996,,,,,,,180,-72.5996,0.0000,0.0000,223.0536,202.5977,26.3181,295.6532,202.5977,26.3181
1,Line,108.8994,,,,,,,180,-108.8994,0.0000,0.0000,204.9037,202.5977,71.6929,313.8031,202.5977,71.6929
1,Line,6.0500,,,,,,,0,6.0500,0.0000,0.0000,380.3528,202.5977,56.5680,374.3028,202.5977,56.5680
1,Line,1.4503,,,,,,,90,0.0000,1.2059,-0.8058,767.5510,70.7984,56.1588,767.5510,69.5925,56.9646
1,Line,1.3550,,,,,,,180,-0.2644,0.0000,1.3290,334.5302,226.1068,38.4181,334.7945,226.1068,37.0891
1,Line,6.4738,,,,,,,0,5.1425,0.0000,-3.9325,745.4687,217.7227,28.4356,740.3261,217.7227,32.3681
1,Line,1.4503,,,,,,,90,0.0000,0.2829,-1.4225,767.5510,68.7867,58.1705,767.5510,68.5038,59.5929
1,Line,1.3550,,,,,,,180,-0.7528,0.0000,1.1267,334.7945,226.1068,37.0891,335.5474,226.1068,35.9624
1,Line,1.3550,,,,,,,180,-1.1266,0.0000,-0.7528,339.3320,226.1068,35.2096,340.4586,226.1068,35.9624
1,Line,1.3550,,,,,,,0,1.1266,0.0000,-0.7528,340.4586,226.1068,40.8737,339.3320,226.1068,41.6265
1,Line,1.3550,,,,,,,180,-1.1266,0.0000,0.7528,335.5474,226.1068,35.9624,336.6740,226.1068,35.2096
1,Line,1.3551,,,,,,,180,-1.3290,0.0000,-0.2644,338.0030,226.1068,34.9452,339.3320,226.1068,35.2096
1,Line,3.5409,,,,,,,124,-1.9672,2.9441,0.0000,707.7421,64.2106,38.4181,709.7093,61.2664,38.4181
1,Line,3.5409,,,,,,,302,1.8175,-2.9441,-0.7528,710.1978,61.2664,40.8737,708.3803,64.2106,41.6265
1,Line,3.5409,,,,,,,180,-0.6908,0.0000,3.4728,881.8096,217.7227,41.8909,882.5004,217.7227,38.4180
1,Line,2.5239,,,,,,,270,0.0000,-2.5239,0.0000,168.2007,140.5604,255.4121,168.2007,143.0843,255.4121
1,Line,2.5038,,,,,,,0,0.4885,0.0000,2.4557,710.1978,61.2664,40.8737,709.7093,61.2664,38.4181
1,Line,3.5409,,,,,,,90,0.0000,1.9672,-2.9441,873.4254,226.1068,41.8909,873.4254,224.1396,44.8350
1,Line,4.5375,,,,,,,270,0.0000,-4.5375,0.0000,740.3261,217.7227,32.3681,740.3261,222.2601,32.3681
1,Line,57.1722,,,,,,,0,57.1722,0.0000,0.0000,566.3895,49.2578,138.5451,509.2172,49.2578,138.5451
1,Line,3.5409,,,,,,,324,2.7200,-1.9672,-1.1267,712.9178,59.2992,39.7470,710.1978,61.2664,40.8737
1,Line,3.2714,,,,,,,180,-0.6382,0.0000,3.2085,172.3196,221.1955,38.4181,172.9578,221.1955,35.2096
1,Line,3.5409,,,,,,,79,0.6908,3.4728,0.0000,172.3196,221.1955,38.4181,171.6288,217.7226,38.4181
1,Line,13.2331,,,,,,,180,-12.0999,0.0000,-5.3579,232.1285,72.2209,63.3101,244.2285,72.2208,68.6679
1,Line,5.4450,,,,,,,0,0.0000,0.0000,-5.4450,939.3702,171.7698,154.8800,939.3702,171.7698,160.3250
1,Line,3.5409,,,,,,,0,0.6908,0.0000,-3.4728,172.3196,217.7226,34.9452,171.6288,217.7226,38.4181
1,Line,4.2065,,,,,,,90,0.0000,2.4725,-3.4031,102.8610,155.1017,184.2081,102.8610,152.6292,187.6112
1,Line,4.2065,,,,,,,90,0.0000,4.0006,-1.2999,102.8610,152.6292,187.6112,102.8610,148.6286,188.9111
1,Line,4.5375,,,,,,,270,0.0000,-4.5375,0.0000,362.2029,67.6834,26.3181,362.2029,72.2208,26.3181
1,Line,5.4450,,,,,,,0,5.4450,0.0000,0.0000,173.6457,147.3287,269.1413,168.2007,147.3287,269.1413
1,Line,1.3550,,,,,,,0,0.2644,0.0000,1.3290,334.7945,226.1068,39.7471,334.5302,226.1068,38.4181
1,Line,5.4450,,,,,,,180,-5.4450,0.0000,0.0000,57.2844,163.6023,152.1575,62.7294,163.6023,152.1575
1,Line,1.3550,,,,,,,0,1.3290,0.0000,0.2644,338.0030,226.1068,41.8909,336.6740,226.1068,41.6265
1,Line,1.3550,,,,,,,0,0.7528,0.0000,1.1267,335.5474,226.1068,40.8737,334.7945,226.1068,39.7471
1,Line,49.0048,,,,,,,0,0.0000,0.0000,-49.0048,57.2844,163.6023,103.1528,57.2844,163.6023,152.1575
1,Line,7.4342,,,,,,,0,0.0000,0.0000,7.4342,286.5782,72.2208,63.3101,286.5782,72.2208,55.8759
1,Line,30.2498,,,,,,,180,-30.2498,0.0000,0.0000,244.2285,72.2208,68.6679,274.4783,72.2208,68.6679
1,Line,108.8994,,,,,,,0,108.8994,0.0000,0.0000,313.8031,72.2208,71.6929,204.9037,72.2209,71.6929
1,Line,72.5996,,,,,,,180,-72.5996,0.0000,0.0000,223.0536,72.2209,47.4930,295.6532,72.2208,47.4930
1,Line,3.5409,,,,,,,0,0.6908,0.0000,-3.4728,865.0413,217.7227,34.9452,864.3505,217.7227,38.4180
1,Line,1.3550,,,,,,,180,-0.2644,0.0000,1.3290,869.9526,226.1068,38.4180,870.2170,226.1068,37.0891
1,Line,24.9447,,,,,,,0,24.1999,0.0000,6.0500,186.7538,222.2601,59.5930,162.5539,222.2601,53.5430
1,Line,2.7225,,,,,,,270,0.0000,-2.7225,0.0000,939.3702,155.4348,111.3202,939.3702,158.1573,111.3202
1,Line,27.2249,,,,,,,0,0.0000,0.0000,27.2249,288.6958,226.2195,130.3776,288.6958,226.2195,103.1527
1,Line,3.5409,,,,,,,270,0.0000,-1.9672,-2.9441,274.4783,63.8367,63.0658,274.4783,65.8039,66.0099
1,Line,2.5239,,,,,,,270,0.0000,0.0000,2.5239,102.8610,138.9000,183.3668,102.8610,138.9000,180.8429
1,Line,2.7225,,,,,,,270,0.0000,-2.7225,0.0000,446.6000,49.2578,138.5451,446.6000,51.9803,138.5451
1,Line,27.8890,,,,,,,180,-21.1749,0.0000,-18.1499,295.6532,67.6834,38.4181,316.8281,67.6834,56.5680
1,Line,32.1302,,,,,,,270,0.0000,-32.1302,0.0000,108.3060,125.7572,192.9948,108.3060,157.8875,192.9948
