Count,Name,Area,Center X,Center Y,Center Z,Length,Radius,Start Angle,Total Angle,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,0.0057,,,,180,-0.0057,0.0000,0.0000,3.4570,-1.9605,0.5547,3.4627,-1.9605,0.5547
1,Line,,,,,0.0208,,,,0,0.0208,0.0000,0.0000,10.4985,-3.3575,0.7132,10.4778,-3.3575,0.7132
1,Line,,,,,0.5865,,,,0,0.0000,0.0000,0.5865,6.7438,-3.3575,0.7132,6.7438,-3.3575,0.1267
1,Line,,,,,3.7340,,,,180,-3.7340,0.0000,0.0000,6.7438,-3.3575,0.1267,10.4778,-3.3575,0.1267
1,Line,,,,,0.5865,,,,0,0.0000,0.0000,-0.5865,10.4778,-3.3575,0.1267,10.4778,-3.3575,0.7132
1,Line,,,,,1.6860,,,,0,0.0000,0.0000,-1.6860,3.4570,-1.9605,0.5547,3.4570,-1.9605,2.2407
1,Line,,,,,1.0770,,,,90,0.0000,1.0770,0.0000,3.4570,-1.9605,2.2407,3.4570,-3.0375,2.2407
1,Line,,,,,0.2905,,,,0,0.0000,0.0000,0.2905,3.4570,-3.0375,0.8452,3.4570,-3.0375,0.5547
1,Line,,,,,1.0770,,,,270,0.0000,-1.0770,0.0000,3.4570,-3.0375,0.5547,3.4570,-1.9605,0.5547
1,Line,,,,,0.0057,,,,180,-0.0057,0.0000,0.0000,3.4570,-1.9605,2.2407,3.4627,-1.9605,2.2407
1,Line,,,,,0.2905,,,,0,0.0000,0.0000,0.2905,3.4627,-3.0375,0.8452,3.4627,-3.0375,0.5547
1,Line,,,,,1.0290,,,,0,0.0000,0.0000,1.0290,3.4627,-1.9605,1.5837,3.4627,-1.9605,0.5547
1,Line,,,,,0.0005,,,,180,-0.0005,0.0000,0.0000,3.4570,-3.0375,1.5837,3.4574,-3.0375,1.5837
1,Line,,,,,0.0838,,,,180,-0.0674,0.0000,-0.0498,12.4266,-1.8561,0.0293,12.4940,-1.8561,0.0790
1,Line,,,,,0.0838,,,,0,0.0674,0.0000,0.0498,12.4940,-3.1161,0.0790,12.4266,-3.1161,0.0293
1,Line,,,,,0.0841,,,,180,-0.0704,0.0000,-0.0459,11.1713,-1.8561,0.0183,11.2417,-1.8561,0.0642
1,Line,,,,,0.0841,,,,0,0.0823,0.0000,-0.0173,11.0075,-3.1161,-0.0124,10.9252,-3.1161,0.0049
1,Line,,,,,0.6380,,,,90,0.0000,0.6380,0.0000,12.5460,-1.8561,0.1443,12.5460,-2.4941,0.1443
1,Line,,,,,0.6220,,,,90,0.0000,0.6220,0.0000,12.5460,-2.4941,0.1443,12.5460,-3.1161,0.1443
1,Line,,,,,0.0841,,,,180,-0.0823,0.0000,0.0173,10.9252,-1.8561,0.0049,11.0075,-1.8561,-0.0124
1,Line,,,,,0.0830,,,,0,0.0737,0.0000,0.0382,6.4094,-3.1161,0.0477,6.3357,-3.1161,0.0096
1,Line,,,,,0.1720,,,,180,-0.1720,0.0000,0.0000,5.2489,-1.8561,0.1192,5.4209,-1.8561,0.1192
1,Line,,,,,0.1720,,,,0,0.1720,0.0000,0.0000,5.4209,-3.1161,0.1192,5.2489,-3.1161,0.1192
1,Line,,,,,0.0830,,,,180,-0.0737,0.0000,-0.0382,6.3357,-1.8561,0.0096,6.4094,-1.8561,0.0477
1,Line,,,,,0.0841,,,,0,0.0704,0.0000,0.0459,11.2417,-3.1161,0.0642,11.1713,-3.1161,0.0183
1,Line,,,,,0.0830,,,,180,-0.0559,0.0000,0.0613,5.9667,-1.8561,0.1269,6.0227,-1.8561,0.0655
1,Line,,,,,0.0830,,,,0,0.0559,0.0000,-0.0613,6.0227,-3.1161,0.0655,5.9667,-3.1161,0.1269
1,Line,,,,,0.0835,,,,0,0.0520,0.0000,0.0653,12.5460,-3.1161,0.1443,12.4940,-3.1161,0.0790
1,Line,,,,,0.6380,,,,90,0.0000,0.6380,0.0000,6.4968,-1.8561,0.1443,6.4968,-2.4941,0.1443
