Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.0280,,,,,,,,,,,,,,,,50,-0.0161,-0.0192,0.0125,8.8731,0.9557,3.0024,8.8892,0.9748,2.9899
1,Line,0.0280,,,,,,,,,,,,,,,,30,-0.0217,-0.0125,0.0125,8.8899,0.9357,3.0024,8.9115,0.9482,2.9899
1,Line,0.0347,,,,,,,,,,,,,,,,130,0.0223,-0.0266,0.0000,8.9115,0.9482,2.9899,8.8892,0.9748,2.9899
1,Line,0.0280,,,,,,,,,,,,,,,,160,-0.0235,0.0086,0.0125,9.8954,1.2726,3.0774,9.9189,1.2640,3.0649
1,Line,0.0280,,,,,,,,,,,,,,,,50,0.0161,0.0192,0.0125,8.8892,0.9748,2.9899,8.8731,0.9557,2.9774
1,Line,0.0280,,,,,,,,,,,,,,,,30,0.0217,0.0125,0.0125,8.9115,0.9482,2.9899,8.8899,0.9357,2.9774
1,Line,0.0260,,,,,,,,,,,,,,,,80,-0.0045,-0.0257,0.0000,9.8954,1.2726,2.9774,9.8999,1.2982,2.9774
1,Line,0.0280,,,,,,,,,,,,,,,,70,0.0086,0.0235,0.0125,8.8591,0.9922,3.0149,8.8506,0.9687,3.0024
1,Line,0.0260,,,,,,,,,,,,,,,,170,0.0257,-0.0045,0.0000,8.8506,0.9687,3.0024,8.8249,0.9732,3.0024
1,Line,0.0280,,,,,,,,,,,,,,,,90,0.0000,-0.0250,0.0125,8.8249,0.9732,3.0274,8.8249,0.9982,3.0149
