Count,Name,Area,Center X,Center Y,Center Z,Circumference,Diameter,Radius,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z
1,Line,,,,,,,,0,0.0600,0.0000,0.0000,2.8698,4.5539,1.6008,0.0600,2.8098,4.5539,1.6008,,,,,,
1,Line,,,,,,,,180,0.0600,0.0000,0.0000,2.8698,2.3761,1.3922,0.0600,2.8098,2.3761,1.3922,,,,,,
1,Line,,,,,,,,180,0.0600,0.0000,0.0000,2.8698,2.4331,1.2547,0.0600,2.8098,2.4331,1.2547,,,,,,
1,Line,,,,,,,,90,0.0000,-0.3200,0.0000,3.0198,4.7107,1.2341,0.3200,3.0198,5.0307,1.2341,,,,,,
1,Line,,,,,,,,180,-0.0400,0.0000,0.0000,2.7698,2.3761,1.3922,0.0400,2.8098,2.3761,1.3922,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,0.7525,0.5182,19.0075,3.5218,0.7525,0.5182,19.0075,2.7693,,,,,,
1,Line,,,,,,,,0,0.0825,0.0000,0.0000,0.5182,19.0075,2.7693,0.0825,0.4357,19.0075,2.7693,,,,,,
1,Line,,,,,,,,90,0.0000,1.6697,0.0000,0.5182,19.0075,2.7693,1.6697,0.5182,17.3378,2.7693,,,,,,
1,Line,,,,,,,,90,0.0000,1.6697,0.0000,0.4357,19.0075,2.7693,1.6697,0.4357,17.3378,2.7693,,,,,,
1,Line,,,,,,,,90,0.0000,-1.6697,0.0000,0.5182,17.3378,3.5218,1.6697,0.5182,19.0075,3.5218,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,0.7559,3.3059,1.9601,3.5218,0.7559,3.3059,1.9601,2.7659,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,0.7525,0.4357,19.0075,3.5218,0.7525,0.4357,19.0075,2.7693,,,,,,
1,Line,,,,,,,,0,0.0825,0.0000,0.0000,0.5182,17.3378,3.5218,0.0825,0.4357,17.3378,3.5218,,,,,,
1,Line,,,,,,,,180,0.0600,0.0000,0.0000,2.8698,1.8825,0.5372,0.0600,2.8098,1.8825,0.5372,,,,,,
1,Line,,,,,,,,90,0.0000,1.6697,0.0000,3.3059,15.6261,3.5218,1.6697,3.3059,13.9564,3.5218,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-0.1840,3.3884,32.6831,1.6120,0.1840,3.3884,32.6831,1.7960,,,,,,
1,Line,,,,,,,,90,0.0000,1.4900,0.0000,3.3884,34.1730,1.7960,1.4900,3.3884,32.6831,1.7960,,,,,,
1,Line,,,,,,,,180,-0.0826,0.0000,0.0000,3.3059,15.6261,3.5218,0.0826,3.3884,15.6261,3.5218,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-0.2884,0.4357,25.3587,3.5858,0.2884,0.4357,25.3587,3.8742,,,,,,
1,Line,,,,,,,,180,-0.0826,0.0000,0.0000,3.3059,13.9564,3.5218,0.0826,3.3884,13.9564,3.5218,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-0.7525,3.3059,15.6261,2.7693,0.7525,3.3059,15.6261,3.5218,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-0.8631,3.3884,33.2208,2.8901,0.8631,3.3884,33.2208,3.7532,,,,,,
1,Line,,,,,,,,90,0.0000,0.5334,0.0000,3.3884,33.7542,2.8901,0.5334,3.3884,33.2208,2.8901,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,0.8631,3.3884,33.7542,3.7532,0.8631,3.3884,33.7542,2.8901,,,,,,
1,Line,,,,,,,,90,0.0000,-0.5334,0.0000,3.3884,33.2208,3.7532,0.5334,3.3884,33.7542,3.7532,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-1.2256,0.4357,11.2981,2.7128,1.2256,0.4357,11.2981,3.9384,,,,,,
1,Line,,,,,,,,90,0.0000,1.7843,0.0000,0.4357,13.0824,2.7128,1.7843,0.4357,11.2981,2.7128,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,1.2256,0.4357,13.0824,3.9384,1.2256,0.4357,13.0824,2.7128,,,,,,
1,Line,,,,,,,,90,0.0000,-1.7843,0.0000,0.4357,11.2981,3.9384,1.7843,0.4357,13.0824,3.9384,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-1.2256,0.4357,27.0677,2.7128,1.2256,0.4357,27.0677,3.9384,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-1.2256,0.4357,29.0701,2.7128,1.2256,0.4357,29.0701,3.9384,,,,,,
1,Line,,,,,,,,90,0.0000,1.8120,0.0000,0.4357,29.0701,2.7128,1.8120,0.4357,27.2582,2.7128,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,0.2884,3.3059,17.9660,3.8742,0.2884,3.3059,17.9660,3.5858,,,,,,
1,Line,,,,,,,,180,-0.0826,0.0000,0.0000,3.3059,17.9660,3.5858,0.0826,3.3884,17.9660,3.5858,,,,,,
1,Line,,,,,,,,90,0.0000,-1.6509,0.0000,0.5182,11.3679,3.5218,1.6509,0.5182,13.0188,3.5218,,,,,,
1,Line,,,,,,,,90,0.0000,-1.6509,0.0000,0.4357,11.3679,3.5218,1.6509,0.4357,13.0188,3.5218,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-1.2256,0.4357,27.2582,2.7128,1.2256,0.4357,27.2582,3.9384,,,,,,
